Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/05 08:33:24.000000,2,3,30.68,72.4,1012.7844530000001,1.4967741935483871,-70.0,24.75857,121.81488,16.69,0.0023079381571677925,4,9,0.11,0.0,-53.59640521488608
2021/09/05 08:33:25.000000,2,4,30.7,72.4,1012.817187,1.4967741935483871,-67.0,24.75857,121.81488,17.43,0.0023079381571677925,4,9,0.34,0.0,-46.000719673712666
2021/09/05 08:33:26.000000,2,5,30.69,72.3,1012.8123429999999,1.4924731182795699,-72.0,24.75857,121.81487,17.84,0.0032304513720238692,4,9,0.22,0.0,-31.504858929595503
2021/09/05 08:33:27.000000,2,6,30.7,72.3,1012.787812,1.4967741935483871,-67.0,24.75857,121.81488,18.53,0.0023079381571677925,4,9,0.11,0.0,-29.202590824575285
2021/09/05 08:33:28.000000,2,7,30.68,72.3,1012.803984,1.4967741935483871,-62.0,24.75857,121.81488,19.6,0.0023079381571677925,5,9,0.48,0.0,-5.445163061881959
2021/09/05 08:33:29.000000,2,8,30.69,72.3,1012.804218,1.4967741935483871,-60.0,24.75857,121.81488,20.48,0.0023079381571677925,5,9,0.21,0.0,15.958915907390741
2021/09/05 08:33:30.000000,2,9,30.7,72.3,1012.788281,1.4946236559139785,-67.0,24.75857,121.81489,19.86,0.001503674176426288,5,9,0.24,0.0,1.5237947479327634
2021/09/05 08:33:31.000000,2,10,30.69,72.4,1012.8225,1.4946236559139785,-66.0,24.75857,121.81489,20.37,0.001503674176426288,5,9,0.25,0.0,20.09104048557017
2021/09/05 08:33:32.000000,2,11,30.7,72.4,1012.816015,1.4946236559139785,-66.0,24.75857,121.81489,20.4,0.001503674176426288,5,9,0.31,0.0,21.092717270852212
2021/09/05 08:33:33.000000,2,12,30.7,72.3,1012.7651559999999,1.4946236559139785,-62.0,24.75857,121.8149,20.71,0,5,9,0.15,0.0,0
2021/09/05 08:33:34.000000,2,13,30.7,72.1,1012.77,1.4946236559139785,-64.0,24.75857,121.8149,20.94,0,7,10,0.14,0.0,0
2021/09/05 08:33:35.000000,2,14,30.71,71.9,1012.76664,1.5053763440860215,-61.0,24.75857,121.8149,20.5,0,7,9,0.54,0.0,0
2021/09/05 08:33:36.000000,2,15,30.71,71.6,1012.781562,1.5053763440860215,-56.0,24.75857,121.8149,21.25,0,7,9,0.25,0.0,0
2021/09/05 08:33:37.000000,2,16,30.72,71.3,1012.771718,1.5032258064516129,-64.0,24.75857,121.8149,21.26,0,7,10,1.03,0.0,0
2021/09/05 08:33:38.000000,2,17,30.71,71.1,1012.80125,1.5032258064516129,-65.0,24.75856,121.8149,22.02,0,7,9,0.46,0.0,0
2021/09/05 08:33:39.000000,2,18,30.72,71.1,1012.8025,1.5032258064516129,-64.0,24.75857,121.8149,21.55,0,7,10,0.07,0.0,0
2021/09/05 08:33:40.000000,2,19,30.73,71.2,1012.7961710000001,1.5053763440860215,-63.0,24.75857,121.8149,21.48,0,7,10,0.22,0.0,0
2021/09/05 08:33:41.000000,2,20,30.72,71.2,1012.8124210000001,1.5053763440860215,-72.0,24.75857,121.8149,20.45,0,7,9,0.38,0.0,0
2021/09/05 08:33:42.000000,2,21,30.73,71.2,1012.794531,1.4946236559139785,-61.0,24.75857,121.8149,19.35,0,7,9,0.34,0.0,0
2021/09/05 08:33:43.000000,2,22,30.74,71.2,1012.799296,1.4946236559139785,-61.0,24.75857,121.8149,19.87,0,7,9,1.47,0.0,0
2021/09/05 08:33:44.000000,2,23,30.75,71.3,1012.8040619999999,1.5053763440860215,-61.0,24.75857,121.8149,20.22,0,7,9,1.27,250.8,0
2021/09/05 08:33:45.000000,2,24,30.75,71.4,1012.8010929999999,1.5032258064516129,-61.0,24.75857,121.81489,20.31,0.001503674176426288,7,9,0.2,250.8,18.049155913939185
2021/09/05 08:33:46.000000,2,25,30.75,71.3,1012.802578,1.5053763440860215,-60.0,24.75857,121.81489,19.88,0.001503674176426288,7,10,0.34,250.8,2.285018955425391
2021/09/05 08:33:47.000000,2,26,30.76,71.3,1012.765,1.5032258064516129,-61.0,24.75857,121.81489,19.48,0.001503674176426288,7,10,0.19,250.8,-12.741056285891522
2021/09/05 08:33:48.000000,2,27,30.75,71.3,1012.773281,1.5032258064516129,-63.0,24.75857,121.81489,19.52,0.001503674176426288,7,9,0.44,250.8,-11.283006815198293
2021/09/05 08:33:49.000000,2,28,30.75,71.3,1012.768125,1.5032258064516129,-77.0,24.75857,121.81489,19.79,0.001503674176426288,7,9,0.65,250.8,-1.142963949441373
2021/09/05 08:33:50.000000,2,29,30.76,71.5,1012.758515,1.5032258064516129,-79.0,24.75857,121.81489,19.92,0.001503674176426288,7,9,0.07,250.8,3.804782680071055
2021/09/05 08:33:51.000000,2,30,30.77,71.6,1012.800781,1.5010752688172042,-68.0,24.75857,121.81489,20.18,0.001503674176426288,7,9,0.08,250.8,13.46395894715231
2021/09/05 08:33:52.000000,2,31,30.77,71.7,1012.805781,1.4946236559139785,-62.0,24.75857,121.81489,19.53,0.001503674176426288,7,9,0.31,250.8,-10.916091634628243
2021/09/05 08:33:53.000000,2,32,30.76,71.6,1012.825468,1.5010752688172042,-61.0,24.75857,121.81489,18.95,0.001503674176426288,7,9,0.27,250.8,-30.052935406826876
2021/09/05 08:33:54.000000,2,33,30.77,71.5,1012.817187,1.5032258064516129,-61.0,24.75857,121.81489,18.79,0.001503674176426288,7,9,0.31,250.8,-34.41070739791239
2021/09/05 08:33:55.000000,2,34,30.76,71.4,1012.789531,1.4946236559139785,-67.0,24.75857,121.81489,18.63,0.001503674176426288,7,9,0.33,250.8,-38.357910395184156
2021/09/05 08:33:56.000000,2,35,30.75,71.3,1012.779765,1.4946236559139785,-68.0,24.75857,121.8149,17.94,0,7,10,0.17,250.8,0
2021/09/05 08:33:57.000000,2,36,30.76,71.3,1012.810625,1.5010752688172042,-62.0,24.75857,121.8149,17.72,0,7,9,0.28,250.8,0
2021/09/05 08:33:58.000000,2,37,30.75,71.3,1012.7960929999999,1.4946236559139785,-61.0,24.75857,121.8149,17.14,0,7,9,0.17,250.8,0
2021/09/05 08:33:59.000000,2,38,30.73,71.4,1012.758437,1.5010752688172042,-65.0,24.75857,121.8149,17.5,0,7,9,0.18,250.8,0
2021/09/05 08:34:00.000000,2,39,30.73,71.5,1012.750468,1.5032258064516129,-64.0,24.75857,121.8149,18.17,0,7,10,0.23,250.8,0
