Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/06 07:42:37.000000,2,4,30.7,74.0,1014.7357030000001,1.5225806451612907,-42.0,24.75862,121.81494,25.42,0.004193892950831963,3,9,0.31,123.39,70.86888146324516
2021/09/06 07:42:38.000000,2,5,30.7,74.0,1014.770937,1.5225806451612907,-43.0,24.75862,121.81494,24.52,0.004193892950831963,3,9,0.11,123.39,69.45453630811839
2021/09/06 07:42:39.000000,2,6,30.7,74.0,1014.7542179999999,1.5268817204301077,-42.0,24.75862,121.81494,23.43,0.004193892950831963,3,9,0.28,123.39,67.44997051742418
2021/09/06 07:42:40.000000,2,7,30.7,74.1,1014.776718,1.5182795698924734,-41.0,24.75862,121.81494,22.5,0.004193892950831963,3,9,0.19,123.39,65.42304640685293
2021/09/06 07:42:41.000000,2,8,30.7,74.1,1014.745156,1.520430107526882,-41.0,24.75862,121.81494,21.09,0.004193892950831963,3,10,0.23,123.39,61.610989888469554
2021/09/06 07:42:42.000000,2,9,30.69,74.2,1014.76125,1.5182795698924734,-41.0,24.75862,121.81494,20.69,0.004193892950831963,3,9,0.32,123.39,60.324540273643834
2021/09/06 07:42:43.000000,2,10,30.68,74.2,1014.786875,1.520430107526882,-41.0,24.75862,121.81494,20.22,0.004193892950831963,3,9,0.55,123.39,58.67142904765471
2021/09/06 07:42:44.000000,2,11,30.69,74.3,1014.8140619999999,1.5182795698924734,-41.0,24.75862,121.81495,20.01,0.003230450457592254,3,8,0.21,123.39,64.19157222858296
2021/09/06 07:42:45.000000,2,12,30.69,74.3,1014.7808590000001,1.520430107526882,-40.0,24.75862,121.81495,19.61,0.003230450457592254,3,9,0.31,123.39,62.77857707733994
2021/09/06 07:42:46.000000,2,13,30.68,74.5,1014.755625,1.5182795698924734,-41.0,24.75862,121.81495,18.3,0.003230450457592254,3,9,0.29,123.39,56.976533951143104
2021/09/06 07:42:47.000000,2,14,30.68,74.6,1014.737031,1.520430107526882,-41.0,24.75861,121.81495,17.82,0,3,9,0.23,123.39,0
2021/09/06 07:42:48.000000,2,15,30.69,74.6,1014.752812,1.5182795698924734,-42.0,24.75861,121.81495,16.69,0,3,9,0.33,123.39,0
2021/09/06 07:42:49.000000,2,16,30.68,74.6,1014.765625,1.520430107526882,-41.0,24.75861,121.81495,15.93,0,3,9,0.13,123.39,0
2021/09/06 07:42:50.000000,2,17,30.68,74.5,1014.751875,1.5161290322580647,-42.0,24.75861,121.81494,16.37,0,3,9,0.81,123.39,0
2021/09/06 07:42:51.000000,2,18,30.68,74.5,1014.7551559999999,1.5268817204301077,-41.0,24.75861,121.81494,16.28,0,3,9,0.24,123.39,0
2021/09/06 07:42:52.000000,2,19,30.66,74.4,1014.756562,1.5268817204301077,-42.0,24.75861,121.81495,16.09,0,3,9,0.02,123.39,0
2021/09/06 07:42:53.000000,2,20,30.68,74.4,1014.767343,1.531182795698925,-41.0,24.75861,121.81495,17.0,0,3,9,0.39,123.39,0
2021/09/06 07:42:54.000000,2,21,30.68,74.3,1014.772187,1.520430107526882,-41.0,24.75861,121.81494,16.79,0,3,9,0.34,123.39,0
2021/09/06 07:42:55.000000,2,22,30.66,74.2,1014.77625,1.520430107526882,-41.0,24.75861,121.81494,16.28,0,3,9,0.49,123.39,0
2021/09/06 07:42:56.000000,2,23,30.67,74.1,1014.7860929999999,1.524731182795699,-41.0,24.75861,121.81495,16.02,0,3,9,0.17,123.39,0
2021/09/06 07:42:57.000000,2,24,30.67,74.1,1014.76625,1.520430107526882,-41.0,24.75861,121.81495,15.91,0,3,10,0.38,123.39,0
2021/09/06 07:42:58.000000,2,25,30.66,74.1,1014.769687,1.5182795698924734,-41.0,24.75861,121.81495,16.57,0,4,9,0.32,123.39,0
2021/09/06 07:42:59.000000,2,26,30.67,74.1,1014.794218,1.5290322580645164,-41.0,24.75861,121.81495,17.11,0,4,9,0.14,123.39,0
