Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/05 11:35:02.000000,2,0,32.35,66.3,972.1142179999999,1.4408602150537635,-78.0,24.82324,121.73005,389.49,0,4,9,0.46,0.0,0
2021/09/05 11:35:03.000000,2,1,32.36,66.2,972.072187,1.4430107526881721,-79.0,24.82324,121.73005,387.67,0,4,9,0.33,0.0,0
2021/09/05 11:35:04.000000,2,2,32.39,66.1,972.012656,1.4279569892473118,-81.0,24.82324,121.73005,386.25,0,4,9,0.41,0.0,0
2021/09/05 11:35:05.000000,2,3,32.42,66.0,971.9553119999999,1.4279569892473118,-81.0,24.82323,121.73005,385.68,0,4,9,0.67,0.0,0
2021/09/05 11:35:06.000000,2,4,32.46,65.8,971.960156,1.4387096774193548,-81.0,24.82323,121.73005,385.82,0,4,9,0.27,0.0,0
2021/09/05 11:35:07.000000,2,5,32.49,65.7,971.987812,1.4430107526881721,-79.0,24.82323,121.73005,386.34,0,4,9,0.87,0.0,0
2021/09/05 11:35:08.000000,2,6,32.52,65.6,971.994375,1.4430107526881721,-80.0,24.82323,121.73005,387.29,0,4,9,0.4,0.0,0
2021/09/05 11:35:09.000000,2,7,32.55,65.6,972.042968,1.4408602150537635,-80.0,24.82323,121.73005,388.09,0,4,9,0.65,0.0,0
2021/09/05 11:35:10.000000,2,8,32.58,65.5,971.968437,1.4408602150537635,-81.0,24.82324,121.73005,388.12,0,4,9,0.12,0.0,0
2021/09/05 11:35:11.000000,2,9,32.59,65.5,971.974375,1.4408602150537635,-78.0,24.82324,121.73005,388.27,0,4,9,0.48,0.0,0
2021/09/05 11:35:12.000000,2,10,32.59,65.5,971.949062,1.4387096774193548,-79.0,24.82324,121.73006,387.76,0.0024449002015498504,4,9,0.24,0.0,52.70524659666523
2021/09/05 11:35:13.000000,2,11,32.6,65.6,972.246718,1.4322580645161291,-79.0,24.82324,121.73006,387.42,0.0024449002015498504,4,9,1.04,0.0,49.57293345391812
2021/09/05 11:35:14.000000,2,12,32.62,65.6,971.9727340000001,1.4279569892473118,-82.0,24.82324,121.73006,384.8,0.0024449002015498504,4,9,0.3,0.0,5.838411284327146
2021/09/05 11:35:15.000000,2,13,32.65,65.5,972.2026559999999,1.4408602150537635,-79.0,24.82324,121.73006,385.29,0.0024449002015498504,4,9,0.85,0.0,16.839533408646734
2021/09/05 11:35:16.000000,2,14,32.67,65.4,972.365156,1.4365591397849462,-80.0,24.82324,121.73006,386.21,0.0024449002015498504,4,10,1.15,0.0,34.17510534650746
2021/09/05 11:35:17.000000,2,15,32.7,65.3,972.206875,1.4279569892473118,-80.0,24.82324,121.73006,386.64,0.0024449002015498504,4,9,0.23,0.0,40.525166678244915
2021/09/05 11:35:18.000000,2,16,32.73,65.2,972.027187,1.4322580645161291,-81.0,24.82325,121.73007,386.7,0.003903309874025154,4,9,6.31,0.0,28.846614169128
2021/09/05 11:35:19.000000,2,17,32.75,65.1,972.083906,1.4408602150537635,-79.0,24.82326,121.73007,387.25,0.004889800335686486,4,9,6.58,0.0,28.906153134475097
2021/09/05 11:35:20.000000,2,18,32.75,65.0,972.127031,1.4387096774193548,-78.0,24.82327,121.73007,386.59,0.005921388665134485,4,9,0.55,0.0,19.009535491797873
2021/09/05 11:35:21.000000,2,19,32.76,65.0,972.1425780000001,1.4408602150537635,-78.0,24.82327,121.73007,385.51,0.005921388665134485,4,9,0.89,0.0,9.208903414391079
