Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/06 15:11:11.000000,2,0,-24.69,1.7,262.861835,0.9075268817204303,-108.0,24.85145,121.58849,10825.77,18.258987108738705,9,4,37.19,258.02,30.537782698360854
2021/09/06 15:11:06.000000,2,1,-24.65,1.8,263.50625,0.956989247311828,-111.0,24.85142,121.58891,10812.39,18.216779153453775,9,3,34.87,279.7,30.564653606021302
2021/09/06 15:09:23.000000,2,2,-22.9,2.6,272.870078,1.0021505376344086,-113.0,24.85048,121.59716,10559.5,17.379834239933473,9,2,29.79,239.46,31.15105490508174
2021/09/06 15:08:50.000000,2,3,-22.28,2.8,276.135742,1.006451612903226,-109.0,24.85101,121.59999,10475.09,17.113032248491326,9,7,21.92,251.56,31.339151592923635
2021/09/06 15:08:51.000000,2,4,-22.36,2.8,276.05269499999997,1.0086021505376344,-109.0,24.85098,121.59992,10477.52,17.119216285757577,9,7,34.19,256.0,31.33589023756225
2021/09/06 15:08:52.000000,2,5,-22.37,3.5,275.99370999999996,0.9913978494623656,-114.0,24.85096,121.59982,10481.07,17.128600598308175,9,2,39.33,263.52,31.330609498879912
2021/09/06 15:08:53.000000,2,6,-22.38,2.8,275.840195,1.006451612903226,-113.0,24.85094,121.59975,10483.31,17.13502660115794,9,4,19.38,256.6,31.326530680463858
2021/09/06 15:08:19.000000,2,7,-21.8,3.0,279.256484,0.9763440860215055,-113.0,24.85178,121.6025,10397.92,16.884538872077382,9,3,24.76,261.28,31.492305537927017
2021/09/06 15:08:20.000000,2,8,-21.82,3.0,279.058085,0.9978494623655915,-109.0,24.85175,121.60242,10399.98,16.89166789122963,9,7,42.37,239.25,31.486614475171297
2021/09/06 15:08:21.000000,2,9,-21.84,3.0,278.994453,1.0129032258064516,-114.0,24.85171,121.60233,10402.59,16.89953456621492,9,2,28.88,251.09,31.481169913270417
2021/09/06 15:08:22.000000,2,10,-21.88,3.0,278.915976,0.9913978494623656,-111.0,24.8517,121.60227,10405.95,16.905194066515627,9,5,20.9,256.61,31.48090964215467
2021/09/06 15:08:23.000000,2,11,-21.88,3.1,278.806523,1.0043010752688173,-108.0,24.85168,121.60218,10407.58,16.91355996196963,9,7,42.08,248.07,31.472303483194636
2021/09/06 15:08:24.000000,2,12,-21.88,3.1,278.767265,1.0236559139784946,-125.0,24.85164,121.6021,10409.9,16.92044675017658,9,-4,29.08,242.22,31.467633883162634
