duration,time,P,T,T_new,Td,Td_new,RH,RH_new,U,V,WS,WD,dZ,dZ_new,geoALT,geoALT_new,LON,LAT,GPS_Z,q,q_new,rad
0.0,2019-07-14 13:24:57.473,1004.61875,37.29,34.35800217848343,26.107386216930124,25.809228072638422,53.0,61.20022360183209,-0.29123805993583923,-0.18905994829616016,0.3472222222222222,57.00999999999999,0.0,0.0,39.62,39.62,121.44207,24.99771,39.62,20.288216384333392,19.930595835211253,1285.638177597332
1.003,2019-07-14 13:24:58.476,1004.577109,37.32,34.38574448914379,26.07110601727269,25.775126404994566,52.8,60.98240670745564,-0.07921675230254828,-0.051424305936555566,0.09444444444444444,57.00999999999999,0.3764968983940804,0.3764968983940804,39.99649689839408,39.99649689839408,121.44207,24.99771,40.09,20.24563295811565,19.891170553368546,1285.638177597332
10.001,2019-07-14 13:25:07.474,1001.4475,37.28,34.32516303528148,25.9057798915544,25.611102618692822,52.4,60.59599520511786,-5.1782248972355385,5.877677944967816,7.833333333333332,138.62,28.337400254030566,28.337400254030563,68.33389715242464,68.33389715242464,121.44218000000001,24.99792,50.76,20.11107114507647,19.76015926665615,1285.6374175837254
11.0,2019-07-14 13:25:08.473,1001.243828,37.26,34.30448510015888,25.88736994396996,25.592844963223953,52.4,60.60010106862084,-3.5775954343744045,-9.942598018243917,10.566666666666666,19.789999999999964,1.8452734182391881,1.845273418238179,70.17917057066383,70.17917057066282,121.44211999999999,24.99779,33.57,20.093201493136007,19.742777420250533,1285.6378472041993
12.0,2019-07-14 13:25:09.473,1000.4425779999999,37.21,34.25151727361523,25.87352720494853,25.577279122428944,52.5,60.7230163348563,-1.1850079514489351,-3.2932895644025595,3.5,19.789999999999964,7.264177791512438,7.26417779151447,77.44334836217627,77.44334836217729,121.44213,24.99783,26.68,20.09271291541524,19.74035494275778,1285.6377577296635
13.0,2019-07-14 13:25:10.473,999.5945310000001,37.17,34.20740790534821,25.83669764289866,25.539906717888336,52.5,60.737516412809555,6.064460517674612,8.761460085345174,10.655555555555557,214.69,7.694129243546655,7.694129243544623,85.13747760572292,85.13747760572191,121.44218000000001,24.99795,46.47,20.065851302703447,19.71332468235377,1285.6373883379754
14.0,2019-07-14 13:25:11.473,998.705234,37.11,34.14418810508785,25.813559540459515,25.515144155397813,52.6,60.86235692772117,4.212633382531078,9.587552255711037,10.472222222222225,203.72,8.070148719415696,8.070148719416707,93.20762632513862,93.20762632513862,121.44221,24.99804,53.84,20.056086295367287,19.70190601866196,1285.6371491519944
15.002,2019-07-14 13:25:12.475,997.9909369999999,37.03,34.062659243124564,25.77191640750148,25.472744935930784,52.7,60.985922776898484,4.330069016598138,5.528300575201067,7.022222222222222,218.07,6.478855610540278,6.478855610541302,99.6864819356789,99.68648193567992,121.44226,24.99795,53.54,20.020814901010176,19.666445936034542,1285.6369844793785
16.0,2019-07-14 13:25:13.473,997.138515,36.95,33.98026666232688,25.73018336304252,25.429988135088927,52.8,61.111502002066565,2.5332959159606987,3.234318255823725,4.108333333333333,218.07,7.736766501731638,7.736766501730614,107.42324843741055,107.42324843741054,121.44232,24.99785,8.18,19.98826711831817,19.633351799065206,1285.6367790679387
17.003,2019-07-14 13:25:14.476,996.260625,36.88,33.9074166763446,25.69757768983265,25.39604042583795,52.9,61.236889909374014,0.7879081280202307,1.0059407692217128,1.2777777777777777,218.07,7.973695403822006,7.973695403822006,115.39694384123254,115.39694384123254,121.44238999999999,24.9978,0.0,19.96711057119334,19.611080081951055,1285.6364744286075
17.999000000000006,2019-07-14 13:25:15.472,994.975937,36.8,33.822320978564434,25.655668065488115,25.35227126926785,53.0,61.3687887189717,1.6498149964842304,-6.568188814622812,6.772222222222222,345.9,11.681080574177345,11.681080574176349,127.07802441540987,127.07802441540889,121.4425,24.997529999999998,0.0,19.943112982125218,19.58541798316534,1285.636182293885
19.0,2019-07-14 13:25:16.473,994.0575779999999,36.69,33.71096645011142,25.617702340282577,25.312425412538126,53.2,61.60585314643169,24.691341097875977,8.89429811653914,26.24444444444445,250.19,8.339449640061872,8.33944964006389,135.41747405547176,135.41747405547278,121.44292,24.99766,0.0,19.91644006084372,19.557185077931067,1285.6339352511347
20.001,2019-07-14 13:25:17.474,993.231484,36.62,33.63789025442369,25.55313352121356,25.248110893385444,53.2,61.62196608121761,6.31657191295155,2.275351243403376,6.7138888888888895,250.19,7.5127921573064205,7.512792157305398,142.93026621277818,142.93026621277818,121.4431,24.997529999999998,0.0,19.856641064580085,19.498749510648615,1285.633153229834
21.003,2019-07-14 13:25:18.476,992.787968,36.54,33.55860549983634,25.54251466886677,25.235732766123345,53.4,61.85046171920524,2.325920149990434,0.8378413763462991,2.4722222222222223,250.19,4.0199715864152665,4.0199715864152665,146.95023779919345,146.95023779919345,121.4431,24.99749,0.0,19.852871305321262,19.493158366280504,1285.633192215998
22.006,2019-07-14 13:25:19.479,992.044687,36.44,33.4580420410127,25.51315156242172,25.204563718414406,53.6,62.08452709864235,1.3435300826019452,4.735313983473733,4.922222222222222,195.84,6.748922893590788,6.7489228935907875,153.69916069278426,153.69916069278423,121.44301999999999,24.997510000000002,0.0,19.832989189734853,19.471691413442702,1285.6335766050936
23.003,2019-07-14 13:25:20.476,991.088281,36.34,33.35614654283912,25.483494450540466,25.172694531305392,53.8,62.321763359657055,4.951542433024707,2.621706764898824,5.602777777777778,242.1,8.696484078418905,8.696484078418905,162.3956447712031,162.39564477120314,121.44301000000002,24.99756,0.0,19.817052539518254,19.45363140912996,1285.633578356829
