duration,time,P,T,T_new,Td,Td_new,RH,RH_new,U,V,WS,WD,dZ,dZ_new,geoALT,geoALT_new,LON,LAT,GPS_Z,q,q_new,rad
-0.0,2021-09-05 14:00:27.000001,1000.415468,33.2,29.721459341049197,24.99285115191107,23.57549638645118,62.2,69.6270843533078,-1.4262724072878998,-0.9652960182893272,1.7222222222222223,55.90999999999997,0.0,0.0,116.34676308775421,116.3467630877532,121.76483,24.81727,116.46,19.067000136477144,17.52183757792154,1101.6908465795007
0.0,2021-09-05 14:00:27.000001,1000.824843,33.35,29.91144905090332,25.025794980871968,23.833324138656973,61.8,69.94745773438837,-3.316931175879377,-1.954601640866868,3.85,59.49000000000001,-3.666763087754191,-3.6667630877531963,112.68,112.68,121.76488,24.81731,112.68,19.096516103489545,17.787982673390058,1101.6900568501242
3.0,2021-09-05 14:00:30.000001,1000.2836710000001,33.13,29.559191112518313,24.980773431424232,23.555503121674693,62.4,70.1964004739385,-1.9842406948058449,-2.3199657380164576,3.0527777777777776,40.539999999999964,4.846477631088688,4.846477631087694,117.5264776310887,117.5264776310877,121.76481000000001,24.81726,118.49,19.055862053593366,17.503629072865216,1101.6911284142795
4.0,2021-09-05 14:00:31.000001,1000.1190619999999,33.11,29.543155059814453,24.98878851372289,24.228668080912083,62.5,73.16308193338725,-2.6181379016221134,-1.9161872771668684,3.2444444444444445,53.80000000000001,1.4742667938768648,1.4742667938788543,119.00074442496555,119.00074442496656,121.76478999999999,24.817239999999998,120.55,19.06813250174757,18.229581755306683,1101.6914670100855
5.0,2021-09-05 14:00:32.000001,999.8614060000001,33.06,29.581459341049197,24.995258916755887,23.585076805508194,62.7,70.23141423475603,-1.327339654754374,-0.7950258145839113,1.5472222222222225,59.08000000000004,2.307185753499823,2.3071857534978335,121.30793017846537,121.30793017846439,121.76477,24.817239999999998,122.61,19.08046492496669,17.542175735628007,1101.6916920834697
6.0,2021-09-05 14:00:33.000001,999.674843,32.99,29.635241022109987,25.009328509346517,23.609510687068813,63.0,70.11724548146336,-1.5590975051390312,-2.2349138617560294,2.725,34.899999999999984,1.6693460620674756,1.6693460620684704,122.97727624053286,122.97727624053286,121.76475,24.81723,124.36,19.100126807097194,17.571102444533107,1101.6919739178802
7.0,2021-09-05 14:00:34.000001,999.492031,32.94,29.612043085098264,25.041857379624357,23.674355838448484,63.3,70.48578528402288,-2.2646757162964963,-1.1960493398993808,2.561111111111112,62.15999999999997,1.6360684813062818,1.6360684813062818,124.61334472183914,124.61334472183914,121.76473,24.817220000000002,126.26,19.14076323983232,17.643174843759933,1101.6922557521677
8.0,2021-09-05 14:00:35.000001,999.280781,32.9,29.704301023483275,25.05703548837265,23.87339553262461,63.5,70.95694310936759,-3.707486918079322,-1.8460616268284398,4.141666666666667,63.52999999999997,1.8910828987401371,1.8910828987401374,126.50442762057928,126.50442762057928,121.7647,24.81721,128.49,19.16218863087272,17.859185319715493,1101.6926501228156
9.0,2021-09-05 14:00:36.000001,999.0109369999999,32.83,29.502043085098265,24.99095764274887,23.59712509385699,63.5,70.60494317630409,-1.7630426775228918,-0.9205213357541432,1.9888888888888887,62.43000000000001,2.4144678952201417,2.4144678952211365,128.91889551579942,128.91889551580041,121.76468,24.8172,131.18,19.092107228088306,17.570153287696765,1101.6929319568042
10.0,2021-09-05 14:00:37.000001,998.7765619999999,32.79,29.31999949455261,25.005933494602537,23.80989017333306,63.7,72.27039091325386,-4.500017183676025,-1.7789578481888897,4.8388888888888895,68.43,2.0979827791476002,2.0979827791476,131.01687829494702,131.01687829494801,121.76463999999999,24.81719,134.18,19.113702140893963,17.801535211648968,1101.6934388633272
11.0,2021-09-05 14:00:38.000001,998.570156,32.75,29.088556051254272,24.9944649355579,23.584694116163885,63.8,72.25724638232943,-1.0000617609734803,-0.3547298470132985,1.0611111111111111,70.47000000000003,1.8472596395860992,1.8472596395851042,132.86413793453312,132.86413793453312,121.76462,24.81718,136.39,19.104642110035748,17.566352920697064,1101.693720696962
12.0,2021-09-05 14:00:39.000001,998.3024210000001,32.71,29.182098350524903,24.982945199252466,23.616028721687915,63.9,72.00326850363774,-2.3485305810800807,-0.6473341142027589,2.436111111111111,74.59000000000003,2.396858551410247,2.3968585514092524,135.26099648594337,135.26099648594237,121.7646,24.81718,137.77,19.09670214291592,17.603892370424465,1101.6939457693868
13.0,2021-09-05 14:00:40.000001,998.0100779999999,32.64,29.28831781387329,24.969203995686684,24.254220308816276,64.1,74.36077054954559,-3.126272823393053,-1.0302852411630838,3.2916666666666665,71.75999999999998,2.6150073010227857,2.615007301024775,137.87600378696615,137.87600378696715,121.76456999999999,24.81717,140.08,19.086754234979946,18.297120960901577,1101.6943401389026
14.0,2021-09-05 14:00:41.000001,997.723906,32.59,29.07454070091248,24.974177462017764,23.6255871931469,64.3,72.49423726804989,-2.5672886982284324,-1.4643556200335597,2.9555555555555566,60.30000000000001,2.561070751771325,2.5610707517703304,140.43707453873748,140.43707453873748,121.76455,24.81715,142.78,19.097969379136835,17.62467774362353,1101.6946787331954
15.0,2021-09-05 14:00:42.000001,997.4644529999999,32.55,29.087664890289304,24.962411545968987,23.51581203370901,64.4,71.9615881865669,-1.4450680554521596,-0.9571952567559868,1.7333333333333334,56.48000000000002,2.322386803581253,2.3223868035822477,142.75946134231873,142.75946134231972,121.76453000000001,24.81714,145.48,19.0896007456724,17.51296955727976,1101.6949605662846
