duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z,q,rad
48.0,2021-09-05 14:01:15.000001,984.464375,31.1,24.716653688630718,68.9,-3.4732830822669363,0.5681494767833145,3.5194444444444444,99.29000000000002,8.368181277980767,259.3884883331118,121.76318,24.81688,261.06,19.063142221500687,1101.711628446998
48.0,2021-09-05 14:01:15.000001,985.086406,31.18,24.81726088423837,69.0,-4.441631905055053,-0.6685622367749107,4.491666666666667,81.44,-5.585258469540463,253.80322986357135,121.76325,24.81687,255.94,19.165707328688683,1101.710897483593
49.0,2021-09-05 14:01:16.000001,984.754687,31.15,24.812890814178438,69.1,-3.4703449604830157,-0.35923743438355776,3.488888888888889,84.08999999999997,2.984449988633969,256.7876798522053,121.76321000000002,24.81687,258.6,19.167242768271024,1101.711347612224
51.0,2021-09-05 14:01:18.000001,984.1025,31.06,24.45867404469468,68.0,-3.6082980407169005,1.260780696793837,3.8222222222222215,109.26,5.853607154888607,262.6412870070939,121.76315,24.81689,263.85,18.778290397116244,1101.7119092814007
52.0,2021-09-05 14:01:19.000001,983.7410150000001,31.0,24.278356573618385,67.5,-4.285158085497745,0.17885212754638968,4.288888888888889,92.39,3.2395395645104372,265.88082657160436,121.76311,24.8169,266.54,18.583533025825897,1101.7123026472023
53.0,2021-09-05 14:01:20.000001,983.405781,30.98,24.407016318925717,68.1,-3.424593014990091,-0.4819046857268763,3.458333333333333,81.99000000000002,3.022514166403539,268.9033407380079,121.76307,24.81689,269.73,18.733781627256054,1101.7128095355017
54.0,2021-09-05 14:01:21.000001,983.016328,30.93,24.578722765662057,69.0,-4.571546324954637,0.3284945102101291,4.583333333333333,94.11,3.4980985141652923,272.4014392521732,121.76303,24.81689,273.73,18.934929631095866,1101.713259661798
55.0,2021-09-05 14:01:22.000001,982.5567179999999,30.89,24.613091075630866,69.3,-4.438207401051139,-0.8820091072403351,4.525,78.75999999999998,4.13880341496133,276.5402426671345,121.76299,24.81688,278.41,18.982877232993793,1101.7137665491668
56.0,2021-09-05 14:01:23.000001,982.145312,30.85,24.623093731952235,69.5,-2.4138076740670815,0.019801023107380602,2.4138888888888888,90.47000000000004,3.7031345884277016,280.2433772555622,121.76296,24.81688,282.31,19.002306888876344,1101.7141041432094
57.0,2021-09-05 14:01:24.000001,981.734062,30.81,24.632947462530577,69.7,-5.06265809158204,-2.502121474848772,5.647222222222222,63.69999999999999,3.7023016874062478,283.94567894296847,121.76293,24.81687,286.71,19.02158782222792,1101.7144984985657
