Metadata
    Sounding ID                                  	5833cd99-4c7b-425a-82a5-c9a2e01f9c7f
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T10:02:04
    Balloon release time                         	10:02:04
    Balloon release date                         	01/11/17
    Surface pressure                             	863.89 hPa
    Surface temperature                          	-0.10 °C
    Surface relative humidity                    	59.00 %
    Surface wind speed                           	0.70 m/s
    Surface wind direction                       	109.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540116
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel
    STD level heights                            	53, 738, 1450, 3049, 5708, 7387, 9420, 10632, 12053
    P correction (Pref - P)                      	0.31 hPa
    U correction (Uref1 - U1)                    	0.17 %Rh
    T difference (Tu - T)                        	0.18 °C 
    T in-built check air temperature             	17.31 °C
    Tu temperature                               	17.48 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	12496 m
    Average ascent rate                          	3.6 m/s
    T difference (Tu - T)                        	0.18 °C 
    P correction (Pref - P)                      	0.31 hPa
    U correction (Uref1 - U1)                    	0.17 %Rh
    Tracked satellite average count              	11.8
    Surface pressure                             	863.70 hPa
    Surface temperature                          	-0.10 °C
    Surface humidity                             	59.00 %Rh
    Surface wind direction                       	109.00°
    Surface wind speed                           	0.70 m/s
    STD level heights                            	53, 738, 1450, 3049, 5708, 7387, 9420, 10632, 12053
    T temperature                                	17.31 °C
    P pressure                                   	863.43 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	863.74 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,863.89, -0.1,59.00, -7.1,109.0,  0.7,        1315,    0.0,99999,40.121220,-113.128677,  0.3,   11.6,TUdfv             
           1,     1318,863.55,  0.4,58.88, -6.7,171.0,  0.9,        1319,    3.9,99999,40.121158,-113.128721,  0.9,   12.2,                  
           2,     1324,862.97,  2.4,55.85, -5.5,183.5,  1.3,        1324,    5.4,99999,40.121151,-113.128744,  2.9,   14.3,                  
           3,     1328,862.53,  4.5,52.17, -4.4,185.8,  1.5,        1330,    4.1,99999,40.121166,-113.128750,  5.1,   16.6,                  
           4,     1333,861.97,  5.6,48.43, -4.4,185.2,  1.6,        1335,    5.3,99999,40.121183,-113.128741,  6.1,   17.7,T                 
           5,     1338,861.40,  5.9,46.34, -4.7,183.9,  1.7,        1341,    5.3,99999,40.121192,-113.128731,  6.4,   18.1,                  
           6,     1344,860.87,  6.3,45.63, -4.6,182.7,  1.9,        1346,    5.1,99999,40.121205,-113.128731,  6.8,   18.5,                  
           7,     1348,860.43,  6.7,45.18, -4.3,181.6,  2.0,        1351,    4.0,99999,40.121231,-113.128735,  7.3,   19.0,                  
           8,     1352,859.92,  7.0,44.61, -4.2,180.5,  2.2,        1356,    4.8,99999,40.121266,-113.128722,  7.6,   19.4,                  
           9,     1357,859.40,  7.3,43.90, -4.2,179.4,  2.4,        1362,    4.5,99999,40.121294,-113.128686,  7.8,   19.8,                  
          10,     1362,858.89,  8.1,43.13, -3.6,178.3,  2.6,        1368,    5.0,99999,40.121305,-113.128650,  8.7,   20.7,                  
          11,     1368,858.37,  8.7,42.21, -3.4,177.1,  2.8,        1373,    6.6,99999,40.121313,-113.128639,  9.3,   21.4,TU                
          12,     1373,857.85,  8.8,41.61, -3.5,175.9,  2.9,        1378,    4.8,99999,40.121334,-113.128650,  9.4,   21.5,                  
          13,     1378,857.33,  8.8,41.58, -3.5,174.7,  3.1,        1383,    4.5,99999,40.121372,-113.128660,  9.4,   21.6,                  
          14,     1382,856.82,  8.8,41.77, -3.5,173.5,  3.3,        1388,    3.9,99999,40.121412,-113.128651,  9.4,   21.6,                  
          15,     1388,856.30,  8.8,41.96, -3.4,172.3,  3.6,        1393,    6.1,99999,40.121440,-113.128634,  9.4,   21.7,                  
          16,     1392,855.77,  8.9,42.05, -3.3,171.1,  3.8,        1398,    4.4,99999,40.121458,-113.128627,  9.5,   21.8,                  
          17,     1396,855.23,  8.9,42.09, -3.3,169.9,  4.0,        1402,    4.2,99999,40.121478,-113.128639,  9.5,   21.8,                  
          18,     1403,854.67,  8.9,42.16, -3.3,168.8,  4.2,        1407,    6.7,99999,40.121510,-113.128656,  9.5,   21.9,T                 
          19,     1408,854.10,  8.9,42.22, -3.3,167.7,  4.4,        1412,    5.0,99999,40.121552,-113.128667,  9.5,   21.9,                  
          20,     1414,853.52,  8.8,42.31, -3.3,166.7,  4.7,        1417,    6.2,99999,40.121599,-113.128681,  9.4,   21.9,                  
          21,     1420,852.93,  8.8,42.49, -3.2,165.7,  4.9,        1422,    5.4,99999,40.121642,-113.128703,  9.4,   22.0,                  
          22,     1426,852.34,  8.8,42.67, -3.2,164.8,  5.1,        1428,    6.3,99999,40.121677,-113.128734,  9.4,   22.0,  d v             
          23,     1431,851.74,  8.7,42.81, -3.2,163.9,  5.3,        1434,    5.3,99999,40.121709,-113.128765,  9.3,   22.0,                  
          24,     1437,851.14,  8.7,42.98, -3.2,163.1,  5.6,        1440,    6.1,99999,40.121749,-113.128783,  9.3,   22.1,                  
          25,     1444,850.55,  8.7,43.11, -3.1,162.4,  5.8,        1446,    7.1,99999,40.121799,-113.128787,  9.3,   22.1,                  
          26,     1450,849.98,  8.8,43.18, -3.0,161.8,  6.0,        1451,    5.4,99999,40.121860,-113.128784,  9.4,   22.3,                  
          27,     1455,849.42,  8.9,43.10, -2.9,161.2,  6.2,        1456,    5.1,99999,40.121929,-113.128791,  9.5,   22.4,                  
          28,     1460,848.87,  9.1,42.99, -2.8,160.7,  6.4,        1461,    4.8,99999,40.121996,-113.128817,  9.7,   22.7,                  
          29,     1466,848.34,  9.2,42.84, -2.8,160.2,  6.5,        1467,    6.6,99999,40.122056,-113.128862,  9.8,   22.8,                  
          30,     1470,847.82,  9.2,42.69, -2.8,159.9,  6.7,        1472,    3.5,99999,40.122117,-113.128919,  9.8,   22.9,                  
          31,     1474,847.30,  9.2,42.65, -2.8,159.5,  6.8,        1476,    4.3,99999,40.122188,-113.128974,  9.9,   23.0,                  
          32,     1479,846.77,  9.3,42.63, -2.7,159.3,  6.9,        1481,    4.8,99999,40.122265,-113.129022,  9.9,   23.1,                  
          33,     1484,846.23,  9.4,42.57, -2.7,159.1,  7.0,        1487,    5.1,99999,40.122337,-113.129063, 10.0,   23.2,                  
          34,     1491,845.68,  9.5,42.48, -2.6,158.9,  7.1,        1492,    7.0,99999,40.122398,-113.129102, 10.1,   23.4,                  
          35,     1496,845.12,  9.5,42.42, -2.6,158.8,  7.2,        1498,    5.0,99999,40.122452,-113.129142, 10.2,   23.5,                  
          36,     1502,844.55,  9.5,42.46, -2.6,158.7,  7.2,        1503,    6.1,99999,40.122510,-113.129190, 10.1,   23.5,                  
          37,     1508,843.99,  9.5,42.54, -2.6,158.7,  7.2,        1508,    6.4,99999,40.122583,-113.129244, 10.1,   23.6,                  
          38,     1514,843.43,  9.5,42.50, -2.6,158.8,  7.2,        1514,    5.1,99999,40.122671,-113.129300, 10.1,   23.6,                  
          39,     1518,842.87,  9.4,42.20, -2.8,158.8,  7.2,        1519,    4.2,99999,40.122768,-113.129353, 10.1,   23.6,T                 
          40,     1524,842.32,  9.6,41.44, -2.8,158.9,  7.1,        1525,    5.9,99999,40.122861,-113.129398, 10.2,   23.9,                  
          41,     1529,841.78, 10.3,40.17, -2.7,159.1,  7.1,        1530,    5.7,99999,40.122940,-113.129436, 10.9,   24.6,                  
          42,     1535,841.23, 10.8,38.95, -2.6,159.2,  7.0,        1536,    5.2,99999,40.123003,-113.129467, 11.4,   25.2,                  
          43,     1540,840.69, 10.9,38.31, -2.7,159.4,  6.9,        1541,    5.8,99999,40.123053,-113.129494, 11.5,   25.4,  d v             
          44,     1545,840.16, 10.9,38.08, -2.8,159.7,  6.8,        1547,    5.2,99999,40.123098,-113.129519, 11.5,   25.4,                  
          45,     1550,839.64, 11.0,37.86, -2.8,159.9,  6.7,        1552,    4.3,99999,40.123148,-113.129542, 11.6,   25.6,                  
          46,     1557,839.13, 11.0,37.60, -2.9,160.2,  6.5,        1557,    7.0,99999,40.123207,-113.129563, 11.7,   25.7,                  
          47,     1561,838.63, 11.1,37.37, -2.9,160.6,  6.4,        1562,    4.7,99999,40.123276,-113.129583, 11.7,   25.8,                  
          48,     1566,838.14, 11.1,37.27, -2.9,160.9,  6.2,        1567,    4.3,99999,40.123346,-113.129600, 11.8,   25.9,T                 
          49,     1570,837.66, 11.1,37.35, -2.9,161.3,  6.1,        1571,    3.8,99999,40.123409,-113.129614, 11.8,   25.9,                  
          50,     1574,837.19, 11.1,37.49, -2.8,161.7,  5.9,        1576,    4.3,99999,40.123460,-113.129629, 11.7,   26.0,                  
          51,     1580,836.72, 11.1,37.58, -2.8,162.1,  5.8,        1580,    5.6,99999,40.123498,-113.129645, 11.7,   26.0,                  
          52,     1584,836.26, 11.1,37.53, -2.8,162.6,  5.6,        1585,    4.8,99999,40.123527,-113.129662, 11.7,   26.1,                  
          53,     1589,835.80, 11.1,37.43, -2.9,163.1,  5.5,        1589,    5.0,99999,40.123553,-113.129677, 11.8,   26.1,                  
          54,     1593,835.34, 11.1,37.30, -2.9,163.6,  5.3,        1594,    3.2,99999,40.123581,-113.129687, 11.7,   26.1,                  
          55,     1597,834.89, 11.1,37.13, -3.0,164.2,  5.2,        1599,    4.6,99999,40.123616,-113.129695, 11.7,   26.2,                  
          56,     1602,834.43, 11.1,37.01, -3.0,164.8,  5.0,        1603,    5.1,99999,40.123658,-113.129706, 11.7,   26.2,                  
          57,     1607,833.98, 11.1,36.95, -3.1,165.4,  4.9,        1608,    4.5,99999,40.123705,-113.129720, 11.7,   26.3,                  
          58,     1611,833.52, 11.0,36.97, -3.1,166.1,  4.7,        1612,    4.4,99999,40.123752,-113.129736, 11.7,   26.3,                  
          59,     1615,833.07, 11.0,37.04, -3.1,166.8,  4.6,        1617,    4.2,99999,40.123796,-113.129754, 11.6,   26.3,                  
          60,     1620,832.61, 11.0,37.12, -3.1,167.6,  4.5,        1621,    5.0,99999,40.123833,-113.129771, 11.6,   26.3,                  
          61,     1625,832.16, 10.9,37.21, -3.1,168.4,  4.4,        1626,    5.1,99999,40.123867,-113.129785, 11.6,   26.3,                  
          62,     1630,831.71, 10.9,37.31, -3.1,169.3,  4.3,        1630,    4.3,99999,40.123896,-113.129794, 11.5,   26.3,                  
          63,     1634,831.27, 10.9,37.41, -3.1,170.2,  4.2,        1635,    4.3,99999,40.123925,-113.129805, 11.5,   26.3,                  
          64,     1639,830.84, 10.8,37.52, -3.1,171.1,  4.2,        1639,    4.5,99999,40.123955,-113.129820, 11.4,   26.3,                  
          65,     1642,830.41, 10.8,37.60, -3.1,172.0,  4.1,        1644,    3.8,99999,40.123987,-113.129835, 11.4,   26.3,                  
          66,     1647,829.98, 10.7,37.72, -3.1,173.0,  4.0,        1648,    5.0,99999,40.124019,-113.129847, 11.4,   26.3,                  
          67,     1651,829.56, 10.7,37.87, -3.1,174.0,  4.0,        1652,    3.6,99999,40.124050,-113.129854, 11.3,   26.3,                  
          68,     1655,829.14, 10.6,37.97, -3.1,175.1,  3.9,        1656,    4.4,99999,40.124079,-113.129856, 11.3,   26.3,                  
          69,     1659,828.71, 10.6,37.98, -3.1,176.1,  3.9,        1660,    3.9,99999,40.124108,-113.129854, 11.2,   26.3,                  
          70,     1663,828.29, 10.6,38.05, -3.1,177.2,  3.9,        1664,    3.8,99999,40.124137,-113.129849, 11.2,   26.3,                  
          71,     1668,827.85, 10.5,38.24, -3.1,178.4,  3.8,        1668,    4.8,99999,40.124166,-113.129846, 11.2,   26.3,                  
          72,     1673,827.41, 10.4,38.42, -3.1,179.5,  3.8,        1673,    4.8,99999,40.124196,-113.129845, 11.1,   26.3,                  
          73,     1677,826.97, 10.4,38.48, -3.1,180.7,  3.8,        1677,    4.4,99999,40.124230,-113.129844, 11.0,   26.3,                  
          74,     1681,826.51, 10.4,38.43, -3.2,181.8,  3.8,        1682,    4.1,99999,40.124267,-113.129842, 11.0,   26.3,                  
          75,     1686,826.05, 10.4,38.32, -3.2,183.0,  3.8,        1686,    4.6,99999,40.124308,-113.129839, 11.0,   26.4,                  
          76,     1690,825.57, 10.4,38.22, -3.2,184.2,  3.8,        1691,    4.7,99999,40.124354,-113.129834, 11.0,   26.4,                  
          77,     1695,825.09, 10.4,38.23, -3.2,185.4,  3.8,        1696,    5.1,99999,40.124400,-113.129827, 11.0,   26.4,                  
          78,     1701,824.60, 10.3,38.31, -3.2,186.7,  3.8,        1701,    5.8,99999,40.124444,-113.129817, 11.0,   26.5,                  
          79,     1706,824.11, 10.3,38.48, -3.2,187.9,  3.8,        1706,    4.5,99999,40.124483,-113.129806, 10.9,   26.4,                  
          80,     1711,823.61, 10.2,38.68, -3.2,189.1,  3.9,        1711,    4.9,99999,40.124520,-113.129795, 10.8,   26.4,                  
          81,     1716,823.12, 10.1,38.86, -3.2,190.3,  3.9,        1716,    5.1,99999,40.124554,-113.129786, 10.7,   26.4,                  
          82,     1721,822.63, 10.1,38.93, -3.3,191.5,  3.9,        1721,    5.2,99999,40.124584,-113.129780, 10.7,   26.4,                  
          83,     1726,822.14, 10.1,38.92, -3.3,192.7,  4.0,        1726,    5.2,99999,40.124612,-113.129776, 10.7,   26.4,                  
          84,     1731,821.66, 10.0,38.95, -3.3,193.9,  4.0,        1731,    4.5,99999,40.124639,-113.129769, 10.6,   26.4,                  
          85,     1736,821.18, 10.0,39.01, -3.3,195.0,  4.1,        1736,    5.0,99999,40.124666,-113.129761, 10.6,   26.5,                  
          86,     1740,820.71, 10.0,39.10, -3.3,196.1,  4.2,        1741,    4.1,99999,40.124690,-113.129753, 10.6,   26.5,                  
          87,     1745,820.24,  9.9,39.29, -3.3,197.2,  4.2,        1746,    5.6,99999,40.124716,-113.129745, 10.5,   26.4,                  
          88,     1750,819.77,  9.8,39.43, -3.3,198.3,  4.3,        1750,    4.7,99999,40.124746,-113.129736, 10.4,   26.4,                  
          89,     1754,819.31,  9.8,39.47, -3.3,199.3,  4.4,        1755,    3.8,99999,40.124779,-113.129723, 10.4,   26.4,                  
          90,     1759,818.84,  9.8,39.47, -3.3,200.3,  4.5,        1760,    5.0,99999,40.124813,-113.129706, 10.4,   26.5,                  
          91,     1764,818.38,  9.7,39.42, -3.4,201.3,  4.6,        1765,    4.8,99999,40.124846,-113.129686, 10.4,   26.5,                  
          92,     1768,817.91,  9.8,39.26, -3.4,202.2,  4.7,        1769,    4.9,99999,40.124880,-113.129665, 10.4,   26.6,                  
          93,     1774,817.43,  9.8,39.15, -3.4,203.1,  4.8,        1774,    5.1,99999,40.124916,-113.129645, 10.4,   26.7,                  
          94,     1778,816.95,  9.8,39.16, -3.4,203.9,  4.9,        1778,    4.1,99999,40.124954,-113.129624, 10.4,   26.7,                  
          95,     1782,816.47,  9.8,39.22, -3.4,204.7,  5.0,        1783,    4.5,99999,40.124993,-113.129601, 10.4,   26.7,                  
          96,     1788,815.98,  9.7,39.27, -3.4,205.5,  5.1,        1788,    5.6,99999,40.125035,-113.129578, 10.4,   26.8,                  
          97,     1793,815.49,  9.7,39.28, -3.4,206.2,  5.2,        1793,    5.4,99999,40.125078,-113.129554, 10.4,   26.8,                  
          98,     1798,815.00,  9.7,39.24, -3.5,206.9,  5.3,        1798,    5.0,99999,40.125123,-113.129528, 10.3,   26.8,                  
          99,     1804,814.51,  9.7,39.19, -3.5,207.5,  5.4,        1803,    5.5,99999,40.125168,-113.129499, 10.3,   26.9,                  
         100,     1808,814.03,  9.7,39.14, -3.5,208.2,  5.5,        1808,    4.7,99999,40.125215,-113.129469, 10.3,   26.9,                  
         101,     1813,813.56,  9.7,39.10, -3.6,208.8,  5.6,        1813,    4.3,99999,40.125264,-113.129433, 10.3,   26.9,                  
         102,     1818,813.08,  9.7,39.04, -3.6,209.4,  5.7,        1818,    5.1,99999,40.125314,-113.129391, 10.3,   27.0,                  
         103,     1823,812.61,  9.7,38.90, -3.6,210.0,  5.8,        1823,    5.0,99999,40.125366,-113.129347, 10.3,   27.0,                  
         104,     1826,812.14,  9.7,38.63, -3.7,210.5,  5.8,        1828,    3.3,99999,40.125420,-113.129302, 10.3,   27.1,                  
         105,     1832,811.67,  9.7,38.25, -3.8,211.1,  5.9,        1833,    6.2,99999,40.125477,-113.129256, 10.3,   27.2,                  
         106,     1837,811.20,  9.8,37.89, -3.9,211.6,  6.0,        1837,    4.9,99999,40.125535,-113.129210, 10.4,   27.3,                  
         107,     1842,810.73,  9.8,37.65, -3.9,212.2,  6.0,        1842,    4.4,99999,40.125596,-113.129164, 10.5,   27.4,                  
         108,     1846,810.26,  9.8,37.53, -3.9,212.7,  6.0,        1846,    4.7,99999,40.125656,-113.129121, 10.5,   27.5,                  
         109,     1852,809.79,  9.8,37.42, -4.0,213.2,  6.0,        1851,    5.2,99999,40.125714,-113.129080, 10.5,   27.5,                  
         110,     1856,809.32,  9.9,37.29, -4.0,213.8,  6.0,        1856,    5.0,99999,40.125769,-113.129038, 10.5,   27.6,                  
         111,     1861,808.84,  9.8,37.07, -4.1,214.4,  6.0,        1861,    4.3,99999,40.125818,-113.128996, 10.5,   27.6,                  
         112,     1866,808.37,  9.9,36.67, -4.2,214.9,  6.0,        1866,    5.0,99999,40.125864,-113.128953, 10.5,   27.7,                  
         113,     1871,807.89, 10.0,36.12, -4.4,215.5,  6.0,        1871,    5.1,99999,40.125908,-113.128908, 10.5,   27.8,                  
         114,     1876,807.42, 10.0,35.66, -4.5,216.1,  6.0,        1876,    4.8,99999,40.125952,-113.128860, 10.6,   28.0,                  
         115,     1880,806.94, 10.1,35.45, -4.5,216.7,  6.0,        1881,    4.9,99999,40.125997,-113.128810, 10.6,   28.0,                  
         116,     1886,806.46, 10.0,35.33, -4.6,217.4,  5.9,        1886,    5.1,99999,40.126041,-113.128758, 10.6,   28.1,                  
         117,     1890,805.98, 10.0,35.12, -4.7,218.0,  5.9,        1890,    4.6,99999,40.126085,-113.128706, 10.6,   28.1,                  
         118,     1895,805.51, 10.0,35.02, -4.7,218.7,  5.9,        1895,    5.2,99999,40.126128,-113.128657, 10.6,   28.1,                  
         119,     1901,805.03, 10.0,35.04, -4.7,219.3,  5.8,        1900,    5.1,99999,40.126168,-113.128614, 10.6,   28.2,                  
         120,     1905,804.56,  9.9,35.06, -4.8,220.0,  5.8,        1905,    4.8,99999,40.126204,-113.128576, 10.5,   28.2,                  
         121,     1911,804.10,  9.9,35.08, -4.8,220.7,  5.8,        1910,    5.2,99999,40.126237,-113.128540, 10.5,   28.2,                  
         122,     1915,803.66,  9.9,35.10, -4.8,221.4,  5.8,        1914,    4.6,99999,40.126267,-113.128507, 10.4,   28.2,                  
         123,     1920,803.24,  9.8,35.15, -4.8,222.1,  5.7,        1919,    4.8,99999,40.126293,-113.128476, 10.4,   28.2,                  
         124,     1924,802.83,  9.8,35.13, -4.9,222.9,  5.7,        1923,    4.3,99999,40.126319,-113.128445, 10.4,   28.2,                  
         125,     1928,802.46,  9.8,35.05, -4.9,223.6,  5.7,        1927,    4.0,99999,40.126346,-113.128412, 10.3,   28.2,                  
         126,     1931,802.10,  9.7,34.94, -5.0,224.3,  5.7,        1931,    3.2,99999,40.126376,-113.128373, 10.3,   28.2,                  
         127,     1934,801.77,  9.7,34.84, -5.0,225.0,  5.7,        1934,    2.9,99999,40.126411,-113.128328, 10.3,   28.2,                  
         128,     1938,801.45,  9.7,34.78, -5.1,225.6,  5.7,        1937,    3.4,99999,40.126448,-113.128277, 10.3,   28.3,                  
         129,     1940,801.14,  9.7,34.77, -5.1,226.3,  5.8,        1940,    2.7,99999,40.126487,-113.128223, 10.3,   28.3,                  
         130,     1944,800.83,  9.7,34.83, -5.1,226.9,  5.8,        1943,    3.3,99999,40.126523,-113.128168, 10.2,   28.3,                  
         131,     1946,800.53,  9.7,34.89, -5.1,227.5,  5.8,        1946,    2.4,99999,40.126558,-113.128113, 10.2,   28.3,                  
         132,     1950,800.22,  9.6,34.88, -5.1,228.1,  5.9,        1950,    3.7,99999,40.126590,-113.128060, 10.2,   28.3,                  
         133,     1953,799.90,  9.6,34.84, -5.1,228.6,  5.9,        1953,    3.2,99999,40.126621,-113.128008, 10.2,   28.3,                  
         134,     1956,799.58,  9.6,34.77, -5.2,229.2,  6.0,        1956,    3.0,99999,40.126651,-113.127959, 10.2,   28.4,                  
         135,     1960,799.26,  9.6,34.62, -5.2,229.6,  6.0,        1959,    3.9,99999,40.126683,-113.127911, 10.2,   28.4,                  
         136,     1963,798.94,  9.6,34.37, -5.3,230.1,  6.1,        1963,    3.5,99999,40.126716,-113.127863, 10.2,   28.4,                  
         137,     1967,798.61,  9.6,34.07, -5.4,230.5,  6.1,        1966,    3.5,99999,40.126751,-113.127813, 10.2,   28.5,                  
         138,     1971,798.29,  9.6,33.76, -5.5,230.9,  6.2,        1969,    3.7,99999,40.126787,-113.127761, 10.2,   28.5,                  
         139,     1973,797.98,  9.6,33.49, -5.6,231.3,  6.3,        1972,    2.6,99999,40.126824,-113.127705, 10.2,   28.6,                  
         140,     1977,797.67,  9.6,33.22, -5.8,231.7,  6.3,        1975,    3.4,99999,40.126860,-113.127645, 10.2,   28.6,                  
         141,     1980,797.36,  9.6,32.79, -5.9,232.0,  6.4,        1979,    3.6,99999,40.126894,-113.127580, 10.2,   28.6,                  
         142,     1983,797.06,  9.7,32.34, -6.0,232.3,  6.5,        1982,    2.7,99999,40.126928,-113.127513, 10.2,   28.7,                  
         143,     1986,796.76,  9.7,32.01, -6.2,232.5,  6.5,        1985,    3.4,99999,40.126962,-113.127445, 10.2,   28.8,                  
         144,     1989,796.47,  9.7,31.65, -6.3,232.8,  6.6,        1988,    2.5,99999,40.126998,-113.127377, 10.2,   28.8,                  
         145,     1992,796.17,  9.7,31.31, -6.4,233.0,  6.6,        1991,    3.5,99999,40.127035,-113.127308, 10.3,   28.9,                  
         146,     1995,795.87,  9.8,31.08, -6.5,233.2,  6.7,        1994,    2.4,99999,40.127074,-113.127240, 10.3,   28.9,                  
         147,     1997,795.57,  9.8,30.90, -6.6,233.4,  6.7,        1998,    2.6,99999,40.127115,-113.127172, 10.3,   29.0,                  
         148,     2002,795.26,  9.8,30.74, -6.7,233.6,  6.8,        2001,    4.3,99999,40.127158,-113.127103, 10.3,   29.0,                  
         149,     2005,794.96,  9.8,30.51, -6.8,233.7,  6.8,        2005,    3.7,99999,40.127202,-113.127036, 10.3,   29.0,                  
         150,     2008,794.66,  9.8,30.12, -6.9,233.9,  6.8,        2008,    2.9,99999,40.127244,-113.126968, 10.3,   29.1,                  
         151,     2011,794.36,  9.8,29.59, -7.1,234.0,  6.9,        2011,    3.1,99999,40.127284,-113.126900, 10.3,   29.1,                  
         152,     2014,794.06,  9.8,29.12, -7.3,234.1,  6.9,        2014,    2.7,99999,40.127322,-113.126833, 10.3,   29.2,                  
         153,     2017,793.77,  9.9,28.71, -7.4,234.2,  6.9,        2017,    2.7,99999,40.127355,-113.126765, 10.3,   29.3,                  
         154,     2020,793.48,  9.9,28.26, -7.6,234.3,  6.9,        2020,    3.1,99999,40.127387,-113.126694, 10.4,   29.4,                  
         155,     2024,793.18, 10.0,27.90, -7.7,234.4,  6.9,        2023,    3.8,99999,40.127418,-113.126622, 10.4,   29.4,                  
         156,     2027,792.89, 10.0,27.55, -7.9,234.5,  6.9,        2026,    3.5,99999,40.127450,-113.126549, 10.4,   29.5,                  
         157,     2028,792.60, 10.0,27.15, -8.0,234.6,  6.9,        2029,    1.3,99999,40.127483,-113.126477, 10.5,   29.5,                  
         158,     2033,792.30, 10.0,26.91, -8.1,234.7,  6.9,        2032,    4.3,99999,40.127518,-113.126407, 10.5,   29.6,                  
         159,     2035,791.99, 10.0,26.92, -8.1,234.8,  6.9,        2036,    2.5,99999,40.127555,-113.126339, 10.5,   29.6,                  
         160,     2038,791.68, 10.0,27.00, -8.1,234.9,  6.9,        2039,    3.1,99999,40.127592,-113.126272, 10.4,   29.6,                  
         161,     2042,791.37, 10.0,27.00, -8.1,235.1,  6.8,        2042,    3.2,99999,40.127628,-113.126208, 10.4,   29.6,                  
         162,     2045,791.04, 10.0,26.89, -8.2,235.2,  6.8,        2045,    3.2,99999,40.127663,-113.126145, 10.4,   29.7,                  
         163,     2050,790.72,  9.9,26.67, -8.3,235.4,  6.8,        2049,    5.1,99999,40.127699,-113.126083, 10.4,   29.7,                  
         164,     2053,790.39,  9.9,26.47, -8.4,235.6,  6.7,        2052,    3.2,99999,40.127734,-113.126023, 10.4,   29.7,                  
         165,     2056,790.07,  9.9,26.33, -8.5,235.8,  6.7,        2056,    3.2,99999,40.127770,-113.125963, 10.3,   29.7,                  
         166,     2059,789.75,  9.9,26.19, -8.6,236.1,  6.6,        2059,    2.9,99999,40.127807,-113.125902, 10.3,   29.7,                  
         167,     2062,789.44,  9.8,26.04, -8.7,236.4,  6.6,        2063,    3.0,99999,40.127845,-113.125841, 10.3,   29.7,                  
         168,     2066,789.12,  9.8,25.90, -8.8,236.7,  6.5,        2066,    4.1,99999,40.127884,-113.125778, 10.2,   29.7,                  
         169,     2069,788.81,  9.8,25.80, -8.9,237.0,  6.5,        2069,    2.5,99999,40.127923,-113.125713, 10.2,   29.7,                  
         170,     2073,788.48,  9.8,25.68, -9.0,237.5,  6.4,        2073,    3.8,99999,40.127962,-113.125647, 10.2,   29.7,                  
         171,     2075,788.15,  9.7,25.52, -9.1,237.9,  6.4,        2076,    2.1,99999,40.127998,-113.125580, 10.2,   29.7,                  
         172,     2079,787.81,  9.7,25.40, -9.1,238.4,  6.3,        2079,    4.4,99999,40.128033,-113.125512, 10.1,   29.8,                  
         173,     2083,787.46,  9.7,25.35, -9.2,239.0,  6.3,        2083,    3.8,99999,40.128067,-113.125444, 10.1,   29.8,                  
         174,     2087,787.10,  9.7,25.35, -9.2,239.6,  6.2,        2087,    4.2,99999,40.128097,-113.125378, 10.1,   29.8,                  
         175,     2091,786.74,  9.6,25.37, -9.2,240.2,  6.1,        2091,    3.7,99999,40.128125,-113.125313, 10.0,   29.8,                  
         176,     2095,786.38,  9.6,25.40, -9.2,240.9,  6.1,        2095,    4.2,99999,40.128152,-113.125248, 10.0,   29.8,                  
         177,     2099,786.02,  9.6,25.39, -9.3,241.6,  6.0,        2099,    4.0,99999,40.128177,-113.125185, 10.0,   29.8,                  
         178,     2103,785.66,  9.5,25.35, -9.3,242.4,  6.0,        2102,    3.4,99999,40.128201,-113.125125, 10.0,   29.8,                  
         179,     2106,785.30,  9.5,25.26, -9.4,243.2,  5.9,        2106,    2.9,99999,40.128224,-113.125067,  9.9,   29.8,                  
         180,     2109,784.94,  9.5,25.12, -9.5,244.1,  5.9,        2110,    3.9,99999,40.128245,-113.125012,  9.9,   29.8,                  
         181,     2114,784.58,  9.5,24.88, -9.6,245.0,  5.8,        2113,    4.5,99999,40.128265,-113.124960,  9.9,   29.9,                  
         182,     2118,784.22,  9.5,24.52, -9.8,245.9,  5.8,        2117,    3.7,99999,40.128286,-113.124908,  9.9,   29.9,                  
