duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z,q,rad
0.0,2019-07-14 13:24:57.473,1004.61875,37.29,26.107386216930117,53.0,-0.29123805993583923,-0.18905994829616019,0.3472222222222222,57.00999999999999,0.0,39.62,121.44207,24.99771,39.62,20.288216384333392,1285.638177597332
1.003,2019-07-14 13:24:58.476,1004.577109,37.32,26.071106017272687,52.8,-0.07921675230254828,-0.051424305936555566,0.09444444444444444,57.00999999999999,0.3764968983940804,39.99649689839408,121.44207,24.99771,40.09,20.245632958115646,1285.638177597332
10.001,2019-07-14 13:25:07.474,1001.4475,37.28,25.9057798915544,52.4,-5.1782248972355385,5.877677944967816,7.833333333333332,138.62,28.337400254030563,68.33389715242464,121.44218,24.99792,50.76,20.11107114507647,1285.6374175837257
11.0,2019-07-14 13:25:08.473,1001.2438279999999,37.26,25.887369943969958,52.4,-3.5775954343744045,-9.942598018243917,10.566666666666666,19.789999999999964,1.845273418239188,70.17917057066383,121.44212,24.99779,33.57,20.093201493136007,1285.6378472041993
12.0,2019-07-14 13:25:09.473,1000.442578,37.21,25.873527204948534,52.5,-1.1850079514489353,-3.2932895644025595,3.5,19.789999999999964,7.264177791512438,77.44334836217627,121.44213,24.99783,26.68,20.09271291541524,1285.6377577296637
13.0,2019-07-14 13:25:10.473,999.594531,37.17,25.83669764289866,52.5,6.064460517674613,8.761460085345174,10.655555555555557,214.69,7.694129243546655,85.13747760572292,121.44218,24.99795,46.47,20.065851302703443,1285.6373883379756
14.0,2019-07-14 13:25:11.473,998.705234,37.11,25.81355954045951,52.6,4.212633382531079,9.587552255711035,10.472222222222225,203.72,8.070148719415698,93.20762632513862,121.44221,24.99804,53.84,20.056086295367283,1285.6371491519942
15.002,2019-07-14 13:25:12.475,997.990937,37.03,25.771916407501482,52.7,4.330069016598138,5.528300575201066,7.022222222222222,218.07,6.478855610540279,99.6864819356789,121.44226,24.99795,53.54,20.020814901010176,1285.6369844793783
16.0,2019-07-14 13:25:13.473,997.138515,36.95,25.730183363042524,52.8,2.5332959159606987,3.234318255823725,4.108333333333333,218.07,7.736766501731637,107.42324843741054,121.44232,24.99785,8.18,19.988267118318173,1285.6367790679387
17.003,2019-07-14 13:25:14.476,996.260625,36.88,25.697577689832652,52.9,0.7879081280202307,1.0059407692217128,1.2777777777777777,218.07,7.973695403822006,115.39694384123254,121.44239,24.9978,0.0,19.96711057119334,1285.6364744286077
17.999000000000002,2019-07-14 13:25:15.472,994.9759369999999,36.8,25.655668065488115,53.0,1.6498149964842304,-6.568188814622813,6.772222222222222,345.9,11.681080574177344,127.07802441540989,121.4425,24.99753,0.0,19.94311298212522,1285.636182293885
19.0,2019-07-14 13:25:16.473,994.057578,36.69,25.61770234028258,53.2,24.691341097875977,8.89429811653914,26.244444444444447,250.19,8.339449640061872,135.41747405547176,121.44292,24.99766,0.0,19.916440060843716,1285.6339352511347
20.000999999999998,2019-07-14 13:25:17.474,993.231484,36.62,25.553133521213557,53.2,6.316571912951549,2.2753512434033762,6.7138888888888895,250.19,7.512792157306421,142.93026621277818,121.4431,24.99753,0.0,19.856641064580085,1285.633153229834
21.003,2019-07-14 13:25:18.476,992.787968,36.54,25.542514668866772,53.4,2.325920149990434,0.8378413763462991,2.4722222222222223,250.19,4.0199715864152665,146.95023779919345,121.4431,24.99749,0.0,19.85287130532126,1285.633192215998
22.006,2019-07-14 13:25:19.479,992.044687,36.44,25.513151562421722,53.6,1.3435300826019452,4.735313983473733,4.922222222222222,195.84,6.7489228935907875,153.69916069278423,121.44302,24.99751,0.0,19.832989189734853,1285.6335766050934
23.003,2019-07-14 13:25:20.476,991.088281,36.34,25.483494450540462,53.8,4.951542433024707,2.621706764898824,5.602777777777778,242.1,8.696484078418905,162.39564477120314,121.44301000000002,24.99756,0.0,19.817052539518258,1285.633578356829
24.0,2019-07-14 13:25:21.473,990.170625,36.24,25.48468498298566,54.1,11.312523966587852,0.1757364375958269,11.313888888888886,269.11,8.345036193849353,170.7406809650525,121.44305,24.99761,0.0,19.8366950044002,1285.6333276819796
24.999000000000002,2019-07-14 13:25:22.472,989.144296,36.14,25.45432363289852,54.3,16.976390488738005,0.8956371887577032,17.0,266.98,9.341457673302415,180.0821386383549,121.44319,24.99767,0.0,19.821370848534,1285.6325624040458
25.999000000000002,2019-07-14 13:25:23.472,988.513281,36.03,25.44526630565465,54.6,19.29827642363496,3.971898694260612,19.702777777777783,258.37,5.722264219512681,185.8044028578676,121.44335,24.99773,0.0,19.82322997008661,1285.6316961467776
26.999000000000002,2019-07-14 13:25:24.472,986.992031,35.9,25.386426167756216,54.8,12.487424620977201,3.3880779233106,12.938888888888886,254.82,13.8634991470189,199.66790200488649,121.44346000000002,24.99778,0.0,19.784337889656136,1285.6310920606675
27.998,2019-07-14 13:25:25.471,985.872656,35.8,25.355070397067628,55.0,9.022859683054364,3.781747512860054,9.783333333333333,247.26,10.204955030723454,209.87285703560994,121.44353,24.99784,0.0,19.769816422772443,1285.6306801693786
28.999000000000002,2019-07-14 13:25:26.472,985.2985150000001,35.69,25.34459560376372,55.3,2.605408375260162,1.0920037537134228,2.825,247.26,5.202834340463085,215.07569137607302,121.44356,24.99792,0.0,19.76892514783353,1285.630450726815
30.0,2019-07-14 13:25:27.473,984.5803119999999,35.58,25.303281364157478,55.5,2.287738130882325,0.9588587532606557,2.480555555555556,247.26,6.52362466046759,221.5993160365406,121.44355,24.99797,0.0,19.734707677629217,1285.6304524732357
