AVAPS-T02 STA 144635127 170831 103932.54
AVAPS-T02 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T02 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T02 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T02 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D02 S10 144635127 170831 104552.25 9999.00  99.00 999.00 175.98   7.97 -25.75  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104552.50  131.28 -73.60   0.10 176.44   8.09 -25.69 -115.529058  21.754762 15176.27  12   0.10   0.10  12  8.00 15223.31
AVAPS-D02 S10 144635127 170831 104552.75 9999.00  99.00 999.00 176.23   8.28 -25.71  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104553.00  131.61 -73.50   0.10 174.48   8.23 -25.72 -115.529062  21.754798 15161.36  12   0.10   0.10  12  8.00 15210.43
AVAPS-D02 S10 144635127 170831 104553.25 9999.00  99.00 999.00 173.77   8.26 -25.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104553.50  131.93 -73.41   0.10 173.80   8.27 -25.65 -115.529067  21.754835 15147.00  13   0.10   0.10  13  8.00 15197.54
AVAPS-D02 S10 144635127 170831 104553.75 9999.00  99.00 999.00 173.52   8.44 -25.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104554.00  132.19 -73.32   0.10 173.35   8.41 -25.70 -115.529070  21.754873 15135.19  13   0.10   0.10  13  8.00 15184.61
AVAPS-D02 S10 144635127 170831 104554.25 9999.00  99.00 999.00 173.53   8.60 -25.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104554.50  132.43 -73.23   0.10 173.33   8.77 -25.64 -115.529075  21.754912 15124.77  13   0.10   0.10  13  8.00 15171.70
AVAPS-D02 S10 144635127 170831 104554.75 9999.00  99.00 999.00 172.79   8.65 -25.36  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104555.00  132.71 -73.14   0.10 172.18   8.86 -25.40 -115.529080  21.754952 15111.90  13   0.10   0.10  13  8.00 15159.00
AVAPS-D02 S10 144635127 170831 104555.25 9999.00  99.00 999.00 172.52   9.06 -25.33  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104555.50  133.02 -73.05   0.10 171.68   9.13 -25.34 -115.529087  21.754993 15098.39  13   0.10   0.10  13  8.00 15146.31
AVAPS-D02 S10 144635127 170831 104555.75 9999.00  99.00 999.00 170.27   9.46 -25.41  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104556.00  133.32 -72.95   0.10 169.20   9.34 -25.30 -115.529095  21.755033 15084.88  13   0.10   0.10  13  8.00 15133.57
AVAPS-D02 S10 144635127 170831 104556.25 9999.00  99.00 999.00 168.51   9.44 -25.27  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104556.50  133.60 -72.86   0.10 169.56   9.59 -25.42 -115.529103  21.755075 15072.49  12   0.10   0.10  12  8.30 15120.81
AVAPS-D02 S10 144635127 170831 104556.75 9999.00  99.00 999.00 168.73   9.55 -25.47  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104557.00  133.89 -72.77   0.10 168.38   9.74 -25.45 -115.529113  21.755118 15059.48  12   0.10   0.10  12  8.30 15107.95
AVAPS-D02 S10 144635127 170831 104557.25 9999.00  99.00 999.00 168.91   9.76 -25.52  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104557.50  134.13 -72.68   0.10 168.51   9.81 -25.50 -115.529122  21.755162 15048.84  13   0.10   0.10  13  8.00 15095.08
AVAPS-D02 S10 144635127 170831 104557.75 9999.00  99.00 999.00 168.33   9.89 -25.45  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104558.00  134.48 -72.58   0.10 168.41  10.04 -25.53 -115.529132  21.755205 15033.44  13   0.10   0.10  13  8.00 15082.32
AVAPS-D02 S10 144635127 170831 104558.25 9999.00  99.00 999.00 168.27  10.16 -25.63  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104558.50  134.76 -72.48  10.01 168.19  10.21 -25.70 -115.529142  21.755252 15020.90  13  10.01   0.10  13  8.00 15069.35
AVAPS-D02 S10 144635127 170831 104558.75 9999.00  99.00 999.00 167.53  10.31 -25.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104559.00  135.03 -72.39  10.10 167.18  10.25 -25.63 -115.529152  21.755297 15009.18  13  10.10   0.10  13  8.00 15056.52
AVAPS-D02 S10 144635127 170831 104559.25 9999.00  99.00 999.00 166.84  10.31 -25.59  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104559.50  135.29 -72.28  10.13 166.79  10.30 -25.56 -115.529163  21.755342 14997.46  13  10.13   0.10  13  8.00 15043.69
AVAPS-D02 S10 144635127 170831 104559.75 9999.00  99.00 999.00 166.69  10.34 -25.53  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104600.00  135.62 -72.18  10.15 166.58  10.37 -25.45 -115.529175  21.755387 14982.96  13  10.15   0.10  13  8.00 15030.89
AVAPS-D02 S10 144635127 170831 104600.25 9999.00  99.00 999.00 167.06  10.46 -25.44  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104600.50  135.87 -72.07  10.18 166.30  10.48 -25.44 -115.529187  21.755433 14971.95  13  10.18   0.10  13  8.00 15018.15
AVAPS-D02 S10 144635127 170831 104600.75 9999.00  99.00 999.00 166.33  10.43 -25.39  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104601.00  136.20 -71.97  10.27 166.05  10.31 -25.39 -115.529198  21.755478 14957.76  13  10.27   0.10  13  8.00 15005.42
AVAPS-D02 S10 144635127 170831 104601.25 9999.00  99.00 999.00 166.56  10.22 -25.40  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104601.50  136.48 -71.86  10.28 166.98  10.25 -25.41 -115.529208  21.755523 14945.25  12  10.28   0.10  12  8.30 14992.64
AVAPS-D02 S10 144635127 170831 104601.75 9999.00  99.00 999.00 167.32  10.12 -25.38  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104602.00  136.74 -71.76  10.35 167.07  10.21 -25.34 -115.529220  21.755567 14934.20  12  10.35   0.10  12  8.00 14979.89
AVAPS-D02 S10 144635127 170831 104602.25 9999.00  99.00 999.00 166.90  10.31 -25.43  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104602.50  137.04 -71.65  10.40 167.03  10.28 -25.54 -115.529230  21.755613 14920.85  11  10.40   0.10  11  9.30 14967.03
AVAPS-D02 S10 144635127 170831 104602.75 9999.00  99.00 999.00 164.46  10.78 -26.21  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104603.00  137.34 -71.54  10.38 161.85  10.07 -27.21 -115.529245  21.755658 14907.89  12  10.38   0.10  12  9.20 14953.24
AVAPS-D02 S10 144635127 170831 104603.25 9999.00  99.00 999.00 160.47  10.62 -27.33  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104603.50  137.66 -71.43  10.45 163.00  10.64 -26.89 -115.529260  21.755705 14894.12  12  10.45   0.10  12  9.20 14939.76
AVAPS-D02 S10 144635127 170831 104603.75 9999.00  99.00 999.00 164.08  10.76 -26.52  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104604.00  137.94 -71.32  10.42 167.76  10.59 -26.43 -115.529273  21.755750 14881.86  12  10.42   0.10  12  9.20 14926.65
AVAPS-D02 S10 144635127 170831 104604.25 9999.00  99.00 999.00 166.96  10.53 -26.24  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104604.50  138.16 -71.22  10.52 165.16  10.15 -25.45 -115.529285  21.755795 14872.41  11  10.52   9.70  11  9.30 14913.94
AVAPS-D02 S10 144635127 170831 104604.75 9999.00  99.00 999.00 165.47  10.17 -25.25  999.000000  99.000000 99999.00  11 999.00 999.00  11 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104605.00  138.47 -71.13  10.54 164.01  10.49 -25.24 -115.529298  21.755840 14858.91  12  10.54   9.76  12  9.20 14901.33
AVAPS-D02 S10 144635127 170831 104605.25 9999.00  99.00 999.00 163.24  10.38 -25.21  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104605.50  138.74 -71.03  10.57 162.57  10.29 -25.17 -115.529313  21.755885 14847.08  13  10.57   9.81  13  8.00 14888.79
AVAPS-D02 S10 144635127 170831 104605.75 9999.00  99.00 999.00 161.43  10.39 -25.23  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104606.00  139.05 -70.94  10.65 160.90  10.40 -25.27 -115.529330  21.755928 14833.82  13  10.65   9.82  13  8.00 14876.22
AVAPS-D02 S10 144635127 170831 104606.25 9999.00  99.00 999.00 160.28  10.30 -25.23  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104606.50  139.32 -70.85  10.67 159.33  10.32 -25.13 -115.529347  21.755972 14822.28  13  10.67   9.89  13  8.00 14863.69
AVAPS-D02 S10 144635127 170831 104606.75 9999.00  99.00 999.00 158.79  10.43 -25.12  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104607.00  139.67 -70.76  10.70 158.51  10.36 -25.12 -115.529365  21.756015 14807.00  13  10.70   9.90  13  8.00 14851.16
AVAPS-D02 S10 144635127 170831 104607.25 9999.00  99.00 999.00 158.37  10.36 -25.15  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104607.50  139.97 -70.68  10.73 157.64  10.51 -25.10 -115.529383  21.756058 14794.36  13  10.73   9.95  13  8.00 14838.61
AVAPS-D02 S10 144635127 170831 104607.75 9999.00  99.00 999.00 157.74  10.51 -25.11  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104608.00  140.18 -70.60  10.76 157.33  10.51 -25.02 -115.529402  21.756103 14785.16  13  10.76   9.98  13  8.00 14826.03
AVAPS-D02 S10 144635127 170831 104608.25 9999.00  99.00 999.00 157.15  10.57 -24.87  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104608.50  140.51 -70.52  10.83 156.38  10.87 -25.10 -115.529422  21.756147 14771.05  13  10.83  10.05  13  8.00 14813.55
AVAPS-D02 S10 144635127 170831 104608.75 9999.00  99.00 999.00 154.36  11.03 -25.49  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104609.00  140.77 -70.43  10.90 153.89  11.25 -25.62 -115.529445  21.756193 14759.99  13  10.90  10.08  13  8.60 14800.62
AVAPS-D02 S10 144635127 170831 104609.25 9999.00  99.00 999.00 154.99  11.11 -25.39  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104609.50  141.11 -70.35  10.91 156.25  11.33 -25.41 -115.529468  21.756238 14745.48  13  10.91  10.13  13  8.00 14787.96
AVAPS-D02 S10 144635127 170831 104609.75 9999.00  99.00 999.00 155.15  11.32 -25.21  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104610.00  141.40 -70.27  10.99 155.74  11.21 -24.95 -115.529490  21.756285 14733.31  11  10.99  10.19  11  8.10 14775.48
AVAPS-D02 S10 144635127 170831 104610.25 9999.00  99.00 999.00 155.77  11.33 -24.86  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104610.50  141.67 -70.19  11.04 155.55  11.44 -24.85 -115.529512  21.756332 14721.57  12  11.04  10.24  12  8.00 14763.03
AVAPS-D02 S10 144635127 170831 104610.75 9999.00  99.00 999.00 155.41  11.54 -24.82  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104611.00  141.98 -70.11  11.05 154.65  11.74 -24.75 -115.529535  21.756378 14708.39  12  11.05  10.25  12  8.00 14750.68
AVAPS-D02 S10 144635127 170831 104611.25 9999.00  99.00 999.00 154.57  11.61 -24.72  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104611.50  142.25 -70.02  11.10 154.04  11.58 -24.65 -115.529560  21.756427 14697.30  11  11.10  10.30  11  8.40 14738.41
AVAPS-D02 S10 144635127 170831 104611.75 9999.00  99.00 999.00 154.28  11.71 -24.61  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104612.00  142.52 -69.94  11.17 154.58  11.85 -24.65 -115.529583  21.756473 14685.62  12  11.17  10.36  12  8.00 14725.99
AVAPS-D02 S10 144635127 170831 104612.25 9999.00  99.00 999.00 154.41  11.90 -24.69  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104612.50  142.88 -69.86  11.20 153.53  12.09 -24.72 -115.529608  21.756523 14670.71  12  11.20  10.40  12  8.00 14713.59
AVAPS-D02 S10 144635127 170831 104612.75 9999.00  99.00 999.00 153.07  12.00 -24.73  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104613.00  143.12 -69.78  11.31 152.50  12.08 -24.67 -115.529635  21.756570 14660.57  13  11.31  10.49  13  8.00 14701.24
AVAPS-D02 S10 144635127 170831 104613.25 9999.00  99.00 999.00 152.23  12.22 -24.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104613.50  143.46 -69.70  11.37 151.72  12.19 -24.62 -115.529663  21.756620 14646.12  13  11.37  10.52  13  8.00 14688.97
AVAPS-D02 S10 144635127 170831 104613.75 9999.00  99.00 999.00 151.33  12.11 -24.57  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104614.00  143.73 -69.62  11.45 151.67  12.12 -24.56 -115.529692  21.756667 14634.67  13  11.45  10.65  13  8.00 14676.66
AVAPS-D02 S10 144635127 170831 104614.25 9999.00  99.00 999.00 151.82  12.19 -24.65  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104614.50  144.04 -69.53  11.52 151.79  12.19 -24.70 -115.529718  21.756715 14621.94  13  11.52  10.74  13  8.00 14664.33
AVAPS-D02 S10 144635127 170831 104614.75 9999.00  99.00 999.00 151.80  12.28 -24.69  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104615.00  144.31 -69.46  11.64 151.56  12.28 -24.72 -115.529747  21.756763 14610.55  13  11.64  10.82  13  8.00 14651.95
AVAPS-D02 S10 144635127 170831 104615.25 9999.00  99.00 999.00 151.37  12.31 -24.75  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104615.50  144.59 -69.39  11.77 151.02  12.32 -24.79 -115.529775  21.756813 14598.89  13  11.77  10.90  13  8.00 14639.54
AVAPS-D02 S10 144635127 170831 104615.75 9999.00  99.00 999.00 151.04  12.32 -24.79  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104616.00  144.90 -69.30  11.87 150.75  12.39 -24.79 -115.529805  21.756862 14586.00  13  11.87  11.06  13  8.00 14627.06
AVAPS-D02 S10 144635127 170831 104616.25 9999.00  99.00 999.00 150.77  12.39 -24.71  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104616.50  145.18 -69.22  11.96 150.46  12.35 -24.70 -115.529833  21.756910 14574.37  13  11.96  11.16  13  8.00 14614.74
AVAPS-D02 S10 144635127 170831 104616.75 9999.00  99.00 999.00 150.27  12.39 -24.66  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104617.00  145.52 -69.13  12.07 149.50  12.44 -24.60 -115.529863  21.756958 14560.01  13  12.07  11.23  13  8.00 14602.44
AVAPS-D02 S10 144635127 170831 104617.25 9999.00  99.00 999.00 149.68  12.37 -24.50  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104617.50  145.79 -69.05  12.19 148.77  12.29 -24.45 -115.529893  21.757007 14548.87  13  12.19  11.34  13  8.00 14590.20
AVAPS-D02 S10 144635127 170831 104617.75 9999.00  99.00 999.00 148.16  12.30 -24.40  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104618.00  146.07 -68.96  12.30 148.29  12.13 -24.39 -115.529925  21.757052 14537.25  12  12.30  11.43  12  8.30 14578.02
AVAPS-D02 S10 144635127 170831 104618.25 9999.00  99.00 999.00 148.37  12.15 -24.36  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104618.50  146.33 -68.87  12.40 148.40  12.18 -24.47 -115.529955  21.757098 14526.48  13  12.40  11.57  13  8.00 14565.80
AVAPS-D02 S10 144635127 170831 104618.75 9999.00  99.00 999.00 148.64  12.28 -24.32  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104619.00  146.67 -68.78  12.55 147.08  12.27 -24.32 -115.529987  21.757145 14512.61  13  12.55  11.74  13  8.00 14553.67
AVAPS-D02 S10 144635127 170831 104619.25 9999.00  99.00 999.00 146.27  12.16 -24.25  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104619.50  146.96 -68.69  12.73 146.39  12.10 -24.30 -115.530020  21.757192 14500.63  13  12.73  11.88  13  8.00 14541.52
AVAPS-D02 S10 144635127 170831 104619.75 9999.00  99.00 999.00 146.30  12.07 -24.38  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104620.00  147.26 -68.61  12.89 145.48  11.91 -24.35 -115.530052  21.757237 14488.22  13  12.89  12.03  13  8.00 14529.27
AVAPS-D02 S10 144635127 170831 104620.25 9999.00  99.00 999.00 145.82  12.08 -24.37  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104620.50  147.60 -68.53  13.07 145.29  12.00 -24.35 -115.530083  21.757282 14474.00  13  13.07  12.19  13  8.00 14517.03
AVAPS-D02 S10 144635127 170831 104620.75 9999.00  99.00 999.00 144.44  11.97 -24.29  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104621.00  147.88 -68.44  13.20 144.18  11.96 -24.26 -115.530118  21.757325 14462.62  13  13.20  12.35  13  8.00 14504.89
AVAPS-D02 S10 144635127 170831 104621.25 9999.00  99.00 999.00 143.99  11.96 -24.19  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104621.50  148.10 -68.36  13.38 143.88  11.83 -24.20 -115.530152  21.757368 14453.77  12  13.38  12.52  12  8.30 14492.76
AVAPS-D02 S10 144635127 170831 104621.75 9999.00  99.00 999.00 143.95  11.79 -24.16  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104622.00  148.45 -68.27  13.52 144.32  11.89 -24.17 -115.530185  21.757412 14439.15  12  13.52  12.64  12  8.00 14480.68
AVAPS-D02 S10 144635127 170831 104622.25 9999.00  99.00 999.00 144.29  11.90 -24.24  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104622.50  148.73 -68.18  13.71 144.10  11.92 -24.28 -115.530218  21.757455 14427.81  12  13.71  12.80  12  8.00 14468.47
AVAPS-D02 S10 144635127 170831 104622.75 9999.00  99.00 999.00 144.01  11.97 -24.30  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104623.00  149.01 -68.09  13.84 143.40  11.95 -24.37 -115.530252  21.757498 14416.50  13  13.84  12.91  13  8.00 14456.29
AVAPS-D02 S10 144635127 170831 104623.25 9999.00  99.00 999.00 143.12  11.87 -24.36  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104623.50  149.32 -68.00  13.94 143.38  11.82 -24.32 -115.530287  21.757542 14403.90  13  13.94  13.08  13  8.00 14444.11
AVAPS-D02 S10 144635127 170831 104623.75 9999.00  99.00 999.00 143.10  11.90 -24.29  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104624.00  149.62 -67.89  14.12 142.80  11.83 -24.30 -115.530320  21.757583 14391.80  12  14.12  13.21  12  8.30 14431.92
AVAPS-D02 S10 144635127 170831 104624.25 9999.00  99.00 999.00 143.09  11.83 -24.27  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104624.50  149.92 -67.79  14.25 144.12  11.67 -24.13 -115.530353  21.757627 14379.43  12  14.25  13.36  12  8.00 14419.83
AVAPS-D02 S10 144635127 170831 104624.75 9999.00  99.00 999.00 144.29  11.93 -24.17  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104625.00  150.22 -67.70  14.41 143.56  11.94 -24.17 -115.530387  21.757670 14367.34  13  14.41  13.53  13  8.00 14407.65
AVAPS-D02 S10 144635127 170831 104625.25 9999.00  99.00 999.00 143.41  12.02 -24.10  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104625.50  150.53 -67.61  14.56 143.48  11.95 -24.16 -115.530422  21.757713 14354.58  13  14.56  13.65  13  8.00 14395.64
AVAPS-D02 S10 144635127 170831 104625.75 9999.00  99.00 999.00 143.98  11.87 -24.21  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104626.00  150.78 -67.51  14.69 144.46  11.91 -24.24 -115.530455  21.757757 14344.80  12  14.69  13.78  12  8.30 14383.47
AVAPS-D02 S10 144635127 170831 104626.25 9999.00  99.00 999.00 144.52  11.93 -24.32  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104626.50  151.12 -67.41  14.83 144.83  12.00 -24.36 -115.530488  21.757800 14330.87  12  14.83  13.92  12  8.00 14371.26
AVAPS-D02 S10 144635127 170831 104626.75 9999.00  99.00 999.00 144.99  12.32 -24.98  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104627.00  151.37 -67.31  14.93 146.00  12.63 -26.17 -115.530522  21.757848 14320.78  12  14.93  14.04  12  8.00 14357.96
AVAPS-D02 S10 144635127 170831 104627.25 9999.00  99.00 999.00 148.36  13.18 -28.78  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104627.50  151.69 -67.20  15.08 145.92  13.33 -29.95 -115.530557  21.757898 14307.92  12  15.08  14.17  12  8.00 14342.39
AVAPS-D02 S10 144635127 170831 104627.75 9999.00  99.00 999.00 143.33  14.16 -29.99  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104628.00  151.98 -67.09  15.22 150.34  13.12 -28.62 -115.530592  21.757950 14296.43  13  15.22  14.28  13  8.00 14328.09
AVAPS-D02 S10 144635127 170831 104628.25 9999.00  99.00 999.00 151.07  12.74 -27.45  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104628.50  152.33 -66.99  15.32 150.05  12.50 -26.59 -115.530622  21.757998 14282.33  13  15.32  14.41  13  8.00 14315.07
AVAPS-D02 S10 144635127 170831 104628.75 9999.00  99.00 999.00 148.53  12.40 -25.88  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104629.00  152.56 -66.88  15.39 148.20  12.59 -25.62 -115.530653  21.758045 14273.07  13  15.39  14.49  13  8.00 14302.53
AVAPS-D02 S10 144635127 170831 104629.25 9999.00  99.00 999.00 149.17  12.58 -25.70  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104629.50  152.92 -66.76  15.48 149.08  12.28 -25.48 -115.530685  21.758093 14258.85  13  15.48  14.59  13  8.00 14289.94
AVAPS-D02 S10 144635127 170831 104629.75 9999.00  99.00 999.00 146.75  12.06 -24.75  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104630.00  153.19 -66.66  15.60 146.12  11.96 -24.28 -115.530717  21.758138 14247.73  12  15.60  14.67  12  8.00 14278.00
AVAPS-D02 S10 144635127 170831 104630.25 9999.00  99.00 999.00 147.07  11.88 -24.27  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104630.50  153.50 -66.55  15.73 147.62  12.08 -24.25 -115.530748  21.758183 14235.75  12  15.73  14.82  12  8.00 14265.90
AVAPS-D02 S10 144635127 170831 104630.75 9999.00  99.00 999.00 146.66  12.16 -24.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104631.00  153.78 -66.44  15.83 147.37  11.90 -24.35 -115.530780  21.758228 14224.54  13  15.83  14.90  13  8.00 14253.76
AVAPS-D02 S10 144635127 170831 104631.25 9999.00  99.00 999.00 147.28  12.00 -24.32  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
