AVAPS-T02 STA 144635127 170831 103932.54
AVAPS-T02 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T02 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T02 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T02 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D02 P10 144635127 170831 104331.00 9999.00  99.00 999.00 190.02 176.67  -1.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104331.25   65.91 -13.13   0.10 190.02 176.68  -1.42 -115.517945  21.741237 99999.00  13   0.10   0.10  13  8.00 19377.58
AVAPS-D02 P10 144635127 170831 104331.50 9999.00  99.00 999.00 190.02 176.70  -1.43  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104331.75   65.90 -13.13   0.10 190.02 176.72  -1.45 -115.517797  21.742020 99999.00  13   0.10   0.10  13  8.00 19376.86
AVAPS-D02 P10 144635127 170831 104332.00 9999.00  99.00 999.00 190.02 176.75  -1.48  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P11 144635127 170831 104332.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 144635127 170831 104332.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104332.75   65.92 -13.09   0.10 190.03 176.83  -1.18 -115.517278  21.744763 99999.00  13   0.10   0.10  13  8.00 19374.06
AVAPS-D02 P10 144635127 170831 104333.00 9999.00  99.00 999.00 190.62 175.41  -1.12  999.000000  99.000000 99999.00   9 999.00 999.00   9 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104334.00   62.18 -18.02   0.10 190.36 174.84  -1.19 -115.517125  21.745538 99999.00   9   0.10   0.10   9 10.00 19373.43
AVAPS-D02 S10 144635127 170831 104334.25 9999.00  99.00 999.00 190.58 173.60  -1.73  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104334.50   63.15 -23.78   0.10 191.07 165.30  -3.04 -115.516977  21.746267 99999.00  13   0.10   0.10  13  9.30 19371.58
AVAPS-D02 S10 144635127 170831 104334.75 9999.00  99.00 999.00 190.93 154.55  -4.77  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104335.00   63.77 -28.65   0.10 191.00 149.61  -6.78 -115.516858  21.746895 99999.00  13   0.10   0.10  13  9.30 19366.73
AVAPS-D02 S10 144635127 170831 104335.25 9999.00  99.00 999.00 189.88 142.68  -9.49  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104335.50   63.05 -32.70   0.10 189.65 137.33 -11.23 -115.516772  21.747480 99999.00  13   0.10   0.10  13  9.30 19358.83
AVAPS-D02 S10 144635127 170831 104335.75 9999.00  99.00 999.00 189.57 131.84 -13.03  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104336.00   63.10 -36.00   0.10 190.08 129.70 -14.55 -115.516675  21.748042 99999.00  13   0.10   0.10  13  9.30 19349.28
AVAPS-D02 S10 144635127 170831 104336.25 9999.00  99.00 999.00 190.82 126.78 -16.33  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104336.50   64.41 -38.37   0.10 192.39 119.24 -18.06 -115.516558  21.748560 99999.00  13   0.10   0.10  13  9.30 19337.37
AVAPS-D02 S10 144635127 170831 104336.75 9999.00  99.00 999.00 194.10 121.45 -17.96  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104337.00   64.22 -40.48   0.10 194.77 121.54 -17.98 -115.516408  21.749088 99999.00  13   0.10   0.10  13 29.30 19328.92
AVAPS-D02 S10 144635127 170831 104337.25 9999.00  99.00 999.00 196.61 109.75 -17.46  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104337.50   64.84 -42.42   0.10 196.09 116.91 -19.45 -115.516257  21.749558 99999.00  13   0.10   0.10  13 26.50 19318.04
AVAPS-D02 S10 144635127 170831 104337.75 9999.00  99.00 999.00 198.47 102.34 -19.85  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104338.00   65.17 -44.04   0.10 197.94 100.01 -22.32 -115.516118  21.749928 19383.17  13   0.10   0.10  13  9.60 19343.97
AVAPS-D02 S10 144635127 170831 104338.25 9999.00  99.00 999.00 195.56  99.00 -25.24  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104338.50   65.29 -45.64   0.10 198.51  95.62 -26.28 -115.515992  21.750330 19370.63  13   0.10   0.10  13 12.60 19324.94
AVAPS-D02 S10 144635127 170831 104338.75 9999.00  99.00 999.00 199.85  95.05 -28.36  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104339.00   65.79 -47.12   0.10 202.08 102.25 -28.54 -115.515815  21.750747 19318.98  13   0.10   0.10  13 31.30 19306.86
AVAPS-D02 S10 144635127 170831 104339.25 9999.00  99.00 999.00 198.51 106.86 -28.40  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104339.50   66.38 -48.80   0.10 196.91  83.00 -29.49 -115.515732  21.751100 19258.02  12   0.10   0.10  12 11.10 19289.50
AVAPS-D02 S10 144635127 170831 104339.75 9999.00  99.00 999.00 196.05  77.74 -31.08  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104340.00   66.07 -50.18   0.10 193.58  77.73 -33.27 -115.515665  21.751413 19289.43  12   0.10   0.10  12 11.10 19265.93
AVAPS-D02 S10 144635127 170831 104340.25 9999.00  99.00 999.00 195.28  76.16 -34.17  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104340.50   66.61 -51.55   0.10 193.80  60.93 -35.09 -115.515612  21.751655 19235.32  13   0.10   0.10  13 13.30 19245.52
AVAPS-D02 S10 144635127 170831 104340.75 9999.00  99.00 999.00 189.40  61.71 -39.83  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104341.00   66.80 -52.65   0.10 187.91  62.04 -44.01 -115.515612  21.751905 19216.60  13   0.10   0.10  13 13.10 19207.75
AVAPS-D02 S10 144635127 170831 104341.25 9999.00  99.00 999.00 196.65  54.65 -46.85  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104341.50   67.22 -53.57   0.10 195.58  53.21 -46.65 -115.515558  21.752075 19174.62  13   0.10   0.10  13 13.20 19178.50
AVAPS-D02 S10 144635127 170831 104341.75 9999.00  99.00 999.00 192.07  50.44 -47.08  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104342.00   67.61 -54.47   0.10 192.18  42.04 -48.39 -115.515525  21.752232 19136.44  13   0.10   0.10  13 38.90 19150.82
AVAPS-D02 S10 144635127 170831 104342.25 9999.00  99.00 999.00 189.96  47.22 -51.69  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104342.50   67.96 -55.49   0.10 192.15  47.51 -54.28 -115.515508  21.752447 19102.54  12   0.10   0.10  12  8.00 19113.06
AVAPS-D02 S10 144635127 170831 104342.75 9999.00  99.00 999.00 196.99  48.89 -55.20  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104343.00   68.10 -56.38   0.10 193.42  45.21 -55.76 -115.515473  21.752640 19089.25  12   0.10   0.10  12  9.10 19082.51
AVAPS-D02 S10 144635127 170831 104343.25 9999.00  99.00 999.00 196.31  42.25 -55.88  999.000000  99.000000 99999.00  11 999.00 999.00  11 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104343.50   68.29 -57.04   0.10 196.76  40.14 -55.02  999.000000  99.000000 19071.47  12   0.10   0.10  12 99.00 99999.00
AVAPS-D02 S10 144635127 170831 104343.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104344.00   68.59 -57.71   0.10 999.00 999.00  99.00 -115.515388  21.752948 19043.36   0   0.10   0.10   0 99.00 19026.48
AVAPS-D02 S10 144635127 170831 104344.25 9999.00  99.00 999.00 174.75  23.56 -42.43  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104344.50   68.69 -58.31   0.10 153.55  19.79 -37.00 -115.515582  21.752902 19033.27  12   0.10   0.10  12 10.80 19023.82
AVAPS-D02 S10 144635127 170831 104344.75 9999.00  99.00 999.00 149.71  19.11 -35.27  999.000000  99.000000 99999.00  11 999.00 999.00  11 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104345.00   68.92 -58.89   0.10 145.32  18.45 -34.66  999.000000  99.000000 19011.98  11   0.10   0.10  11 99.00 99999.00
AVAPS-D02 S10 144635127 170831 104345.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104345.50   69.12 -59.41   0.10 139.01  17.97 -34.54 -115.515903  21.752843 18993.60  13   0.10   0.10  13 10.20 18997.32
AVAPS-D02 S10 144635127 170831 104345.75 9999.00  99.00 999.00 138.82  17.41 -35.19  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104346.00   69.29 -59.90   0.10 136.47  16.66 -35.33 -115.516067  21.752850 18977.50  13   0.10   0.10  13  9.60 18982.78
AVAPS-D02 S10 144635127 170831 104346.25 9999.00  99.00 999.00 136.01  16.21 -36.18  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104346.50   69.45 -60.36   0.10 137.83  15.02 -35.97 -115.516212  21.752813 18962.63  13   0.10   0.10  13 31.10 18970.73
AVAPS-D02 S10 144635127 170831 104346.75 9999.00  99.00 999.00 131.72  15.83 -35.96  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104347.00   69.64 -60.81   0.10 127.33  15.15 -35.42 -115.516350  21.752825 18945.61  13   0.10   0.10  13 11.00 18953.47
AVAPS-D02 S10 144635127 170831 104347.25 9999.00  99.00 999.00 127.68  15.03 -35.87  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104347.50   69.82 -61.28   0.10 126.88  15.64 -36.77 -115.516457  21.752833 18928.91  12   0.10   0.10  12 11.20 18937.54
AVAPS-D02 S10 144635127 170831 104347.75 9999.00  99.00 999.00 122.15  15.11 -36.90  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104348.00   70.07 -61.71   0.10 117.90  14.47 -36.09 -115.516577  21.752833 18906.79  12   0.10   0.10  12  8.70 18918.79
AVAPS-D02 S10 144635127 170831 104348.25 9999.00  99.00 999.00 115.82  14.21 -35.94  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104348.50   70.24 -62.07   0.10 116.76  14.32 -37.11 -115.516690  21.752837 18891.05  12   0.10   0.10  12  9.60 18901.41
AVAPS-D02 S10 144635127 170831 104348.75 9999.00  99.00 999.00 115.76  13.96 -37.34  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104349.00   70.47 -62.41   0.10 110.51  13.42 -36.27 -115.516782  21.752823 18870.27  12   0.10   0.10  12 10.00 18882.46
AVAPS-D02 S10 144635127 170831 104349.25 9999.00  99.00 999.00 108.44  13.67 -35.78  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104349.50   70.67 -62.72   0.10 106.72  13.43 -35.08 -115.516885  21.752818 18852.45  13   0.10   0.10  13  9.90 18864.81
AVAPS-D02 S10 144635127 170831 104349.75 9999.00  99.00 999.00 105.89  13.50 -34.93  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104350.00   70.86 -63.00   0.10 103.55  13.83 -34.97 -115.516967  21.752817 18835.18  13   0.10   0.10  13 10.90 18849.08
AVAPS-D02 S10 144635127 170831 104350.25 9999.00  99.00 999.00 101.05  13.40 -34.84  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104350.50   71.07 -63.26   0.10  99.03  13.13 -34.89 -115.517062  21.752813 18817.00  13   0.10   0.10  13  9.80 18831.52
AVAPS-D02 S10 144635127 170831 104350.75 9999.00  99.00 999.00  98.48  13.10 -34.87  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104351.00   71.27 -63.50   0.10  97.58  13.02 -34.95 -115.517143  21.752812 18799.35  13   0.10   0.10  13  8.50 18815.67
AVAPS-D02 S10 144635127 170831 104351.25 9999.00  99.00 999.00  96.00  13.18 -35.03  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104351.50   71.50 -63.72   0.10  93.37  13.06 -35.06 -115.517223  21.752807 18779.16  13   0.10   0.10  13  8.80 18798.97
AVAPS-D02 S10 144635127 170831 104351.75 9999.00  99.00 999.00  91.06  12.91 -35.13  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104352.00   71.69 -63.93   0.10  89.44  12.70 -35.06 -115.517305  21.752798 18762.53  11   0.10   0.10  11  9.40 18781.68
AVAPS-D02 S10 144635127 170831 104352.25 9999.00  99.00 999.00  88.89  12.71 -35.07  999.000000  99.000000 99999.00  11 999.00 999.00  11 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104352.50   71.86 -64.14   0.10  87.54  12.88 -35.12 -115.517383  21.752785 18747.42  12   0.10   0.10  12  8.00 18765.61
AVAPS-D02 S10 144635127 170831 104352.75 9999.00  99.00 999.00  85.62  12.83 -35.09  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104353.00   72.08 -64.32   0.10  83.49  12.95 -35.07 -115.517460  21.752767 18728.26  12   0.10   0.10  12  8.40 18748.29
AVAPS-D02 S10 144635127 170831 104353.25 9999.00  99.00 999.00  82.01  12.61 -35.13  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104353.50   72.28 -64.50   0.10  81.85  12.59 -35.14 -115.517535  21.752752 18710.78  13   0.10   0.10  13  9.30 18731.32
AVAPS-D02 S10 144635127 170831 104353.75 9999.00  99.00 999.00  81.73  12.57 -35.13  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104354.00   72.52 -64.66   0.10  80.56  12.83 -35.17 -115.517608  21.752737 18690.55  13   0.10   0.10  13  8.60 18715.07
AVAPS-D02 S10 144635127 170831 104354.25 9999.00  99.00 999.00  79.18  12.74 -35.15  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104354.50   72.72 -64.81   0.10  78.63  12.88 -35.11 -115.517678  21.752717 18673.20  12   0.10   0.10  12 10.50 18697.56
AVAPS-D02 S10 144635127 170831 104354.75 9999.00  99.00 999.00  77.42  12.68 -35.31  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104355.00   72.95 -64.96   0.10  77.43  12.68 -35.49 -115.517748  21.752698 18653.02  13   0.10   0.10  13  9.30 18680.16
AVAPS-D02 S10 144635127 170831 104355.25 9999.00  99.00 999.00  77.60  12.63 -35.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104355.50   73.17 -65.10   0.10  76.37  12.77 -35.33 -115.517820  21.752683 18634.23  13   0.10   0.10  13  9.30 18663.61
AVAPS-D02 S10 144635127 170831 104355.75 9999.00  99.00 999.00  75.59  12.78 -35.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104356.00   73.39 -65.23   0.10  75.42  12.66 -35.37 -115.517888  21.752665 18615.76  13   0.10   0.10  13  8.60 18646.88
AVAPS-D02 S10 144635127 170831 104356.25 9999.00  99.00 999.00  75.03  12.79 -35.40  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104356.50   73.54 -65.36   0.10  73.73  12.77 -35.33 -115.517955  21.752640 18603.02  13   0.10   0.10  13  8.30 18629.79
AVAPS-D02 S10 144635127 170831 104356.75 9999.00  99.00 999.00  72.97  12.80 -35.24  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104357.00   73.73 -65.49   0.10  71.65  12.69 -35.28 -115.518022  21.752618 18586.61  12   0.10   0.10  12  8.00 18612.29
AVAPS-D02 S10 144635127 170831 104357.25 9999.00  99.00 999.00  71.26  12.51 -35.25  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104357.50   73.95 -65.64   0.10  71.85  12.56 -35.17 -115.518083  21.752598 18568.29  12   0.10   0.10  12  8.00 18595.03
AVAPS-D02 S10 144635127 170831 104357.75 9999.00  99.00 999.00  72.28  12.84 -34.90  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104358.00   74.14 -65.78   0.10  70.49  12.96 -34.87 -115.518148  21.752573 18552.23  12   0.10   0.10  12  8.90 18577.69
AVAPS-D02 S10 144635127 170831 104358.25 9999.00  99.00 999.00  69.92  12.59 -34.93  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
