time,P,T,T_new,RH,RH_new,LAT,LON,WD,WS,IF,U,V,q,q_new,rad
2019-07-14 13:24:57.473,1004.61875,37.29,36.36300499088244,53.0,54.78013690172493,121.44207,24.99771,57.00999999999999,0.3472222222222222,1.0,-0.29123805993583923,-0.18905994829616016,20.288216384333392,19.931495193999282,324.5105069146078
2019-07-14 13:24:58.476,1004.0,37.31262388368643,36.37957681362327,52.72623883686429,54.52204579970127,121.44209028431986,24.99774872461065,72.05912130876303,1.5215180590005923,1.0,-1.0194886813243258,1.0419193900065862,20.2208193685071,19.867911050334484,324.50993134267634
2019-07-14 13:25:07.474,1003.0,37.29984273434797,36.360220872337436,52.59842734347965,54.4107721927905,121.44212543248054,24.997815825644675,98.1358612465639,3.994315424067279,1.0,-2.6487682957851284,2.93643792280236,20.177823002814396,19.826049180528102,324.50893400607015
2019-07-14 13:25:07.474,1002.0,37.2870615850095,36.3408649310516,52.470615850095015,54.29949858587974,121.44216058064121,24.997882926678702,124.21260118436479,6.4671127891339655,1.0,-4.27804791024593,4.830956455598134,20.13482663712169,19.78418731072172,324.50793666946396
2019-07-14 13:25:08.473,1001.0,37.24478452418097,36.29337148248004,52.43043095163806,54.27374798150865,121.44212304309517,24.997802172380656,19.789999999999964,8.416212750910617,1.0,-2.8495082945471424,-7.919150178390197,20.093052814286086,19.74293959706377,324.5091025519924
2019-07-14 13:25:10.473,1000.0,37.18912483624139,36.23350456921752,52.5,54.354713342710404,121.4421560939547,24.997892625491275,121.50423541383722,7.234334850151713,1.0,2.5983380849472817,2.997832260786322,20.078694401310766,19.72714777563856,324.50786159489195
2019-07-14 13:25:11.473,999.0,37.12988757411753,36.17015264287566,52.56685404313745,54.43312786268082,121.44220005621294,24.998010168638825,207.35611146782233,10.532989809803576,1.0,4.826439205914852,9.31373610127662,20.059323000486557,19.706590205894532,324.50624166457027
2019-07-14 13:25:12.475,998.0,37.03101503996237,36.0687024357256,52.69873120004705,54.575366454409604,121.44225936560002,24.997951141919955,217.88792720675073,7.06599582059922,1.0,4.328578993328341,5.579804358613761,20.021262424445187,19.667795214999618,324.50646748160705
2019-07-14 13:25:13.473,997.0,36.9389552791352,35.97377904639972,52.815778172664,54.703121314360374,121.44233104472086,24.99784211091367,218.07,3.661723390427341,1.0,2.257905617123086,2.882721008381962,19.984929001783073,19.630737089651717,324.5071580805773
2019-07-14 13:25:14.476,996.0,36.86377037848879,35.895158395596155,52.920287026889014,54.81846231031856,121.44241231572958,24.9977452250274,244.0029064722319,2.3924371996243865,1.0,0.9627634061838167,-0.5306249360619049,19.962242173846374,19.60677336488711,324.5076448452108
2019-07-14 13:25:15.472,995.0,36.80149844942897,35.82891593701434,52.99812693821379,54.90772005295145,121.44249793963203,24.997535057266823,343.5056651186835,6.669307882968614,1.0,1.6336709482982834,-6.426320687749544,19.943562471795662,19.586798008134764,324.50935546605376
2019-07-14 13:25:16.473,994.0,36.68512106370461,35.71087858178714,53.2,55.11833692662596,121.44293254583619,24.99765093911831,250.19,24.88318249631452,1.0,23.410636407937293,8.43296354315931,19.91227212522517,19.55401153205451,324.5049332205394
2019-07-14 13:25:18.476,993.0,36.57824565517365,35.60151246200451,53.30438586206586,55.234085286543994,121.4431,24.997509122827587,250.19,4.500038730908873,1.0,4.2337337905449415,1.5250727098987453,19.85467351673002,19.49673068750663,324.50529558751293
2019-07-14 13:25:19.479,992.0,36.43532761191377,35.45828403588644,53.609344776172456,55.545363864388506,121.4430195327612,24.997512336194042,198.0014467286885,4.9540204189201535,1.0,1.512110421812689,4.63655805160341,19.832244567588788,19.47174693880167,324.5058410062887
2019-07-14 13:25:20.476,991.0,36.33037972835136,35.351424331398256,53.82886081494592,55.77305686256099,121.44301384810868,24.997564810135824,244.69843537229767,6.15220218082233,1.0,5.563486136073309,2.386397774967146,19.818942197998386,19.456005511768513,324.5053005767087
2019-07-14 13:25:21.473,990.0,36.22337521399084,35.2430381528488,54.13324957201833,56.08331344029208,121.44307327470041,24.997619974871608,268.75589205800486,12.259192693354368,1.0,12.254129655739955,0.2954183969548485,19.834147396279732,19.46693535775127,324.5042601811349
2019-07-14 13:25:22.472,989.0,36.11484598622853,35.13279388358854,54.36860185574037,56.32648321573303,121.4432265876564,24.997683720371146,265.01112674025126,17.618051904031347,1.0,17.50734276857603,1.599094682158304,19.82179597916252,19.452000759367014,324.50244676943674
2019-07-14 13:25:23.472,988.0,35.98613703861955,35.00332214885984,54.667481479046835,56.63168206473066,121.44338711481348,24.997746870369763,257.1722037469186,17.420591646124336,1.0,17.000244657574154,3.774913248650755,19.810107494533327,19.437298633690986,324.5005878567017
2019-07-14 13:25:24.472,987.0,35.900680999178306,34.91488824830695,54.798952308956444,56.77365016482831,121.44345942376994,24.997779738077238,254.83859651602302,12.974321217931166,1.0,12.523102963140156,3.3911362422744142,19.784541624077796,19.41040085382395,324.49970151106356
2019-07-14 13:25:25.471,986.0,35.81137634840871,34.822978946033,54.97724730318258,56.96122267493555,121.44352203655612,24.997833174190955,248.12005193969844,10.142320327563729,1.0,9.417000661238465,3.7369622887737703,19.77146843543919,19.39513052420602,324.49865725032976
2019-07-14 13:25:26.472,985.0,35.6442794307459,34.656853343067645,55.38312830773472,57.37086779617053,121.44355584358462,24.997940782076935,247.26,2.6818345811235305,1.0,2.4733714260961324,1.0366631608585346,19.754702945868292,19.374907264769295,324.49722068987455
