duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z
0.0,2021-09-05 14:00:27.000000,1000.82,33.35,25.23,61.8,-3.32,-1.9500000000000002,3.8499999999999996,59.49,-3.6700000000000728,113.0,121.76488,24.81731,112.68
4.461538461538495,2021-09-05 14:00:31.461538,1000.0,33.08692307692308,25.184615384615384,62.5923076923077,-2.019230769230726,-1.3976923076922705,2.459999999999943,56.236923076923254,1.857692307692336,119.92307692307699,121.76478076923077,24.81724,121.5007692307693
9.043478260869522,2021-09-05 14:00:36.043478,999.0,32.82826086956522,25.180434782608696,63.508695652173905,-1.8791304347824909,-0.9573913043477891,2.1139130434781386,62.690869565217135,2.3965217391304483,129.08695652173904,121.76467826086956,24.81719956521739,131.31043478260858
13.034482758620662,2021-09-05 14:00:40.034483,998.0,32.638275862068966,25.150344827586206,64.10689655172413,-3.1010344827586356,-1.0451724137930916,3.2786206896551815,71.36482758620721,2.61793103448276,138.06896551724134,121.76456931034484,24.817169310344827,140.1731034482758
16.57692307692301,2021-09-05 14:00:43.576923,997.0,32.47692307692308,25.15576923076923,64.7153846153846,-2.26153846153839,-0.23807692307698158,2.329230769230709,81.43384615384434,2.5488461538461853,147.15384615384602,121.76449846153847,24.81713,149.20769230769216
19.869565217391248,2021-09-05 14:00:46.869565,996.0,32.31217391304348,25.143913043478264,65.28695652173913,-3.643478260869437,-0.3473913043478052,3.6652173913042185,86.38260869565235,0.9582608695649553,155.60869565217374,121.7644052173913,24.81713,158.27478260869546
22.805555555555426,2021-09-05 14:00:49.805556,995.0,32.17583333333334,25.081944444444446,65.58055555555553,-4.609166666666071,-0.9577777777776408,4.707777777777167,78.9516666666673,3.1355555555555186,164.41666666666626,121.76430583333334,24.817111944444445,166.67111111111075
25.410256410256345,2021-09-05 14:00:52.410256,994.0,32.04589743589744,25.00769230769231,65.75897435897437,-4.043846153846142,-1.2512820512820033,4.239999999999974,72.98384615384673,3.6266666666666754,173.64102564102538,121.7641835897436,24.817081794871797,175.53384615384593
27.666666666666668,2021-09-05 14:00:54.666667,993.0,31.926666666666666,24.91,65.83333333333334,-5.333333333333334,-1.3766666666666665,5.533333333333333,75.03,4.086666666666666,182.66666666666666,121.76406666666666,24.817056666666666,184.37333333333333
29.787234042553155,2021-09-05 14:00:56.787234,992.0,31.846382978723405,24.876382978723406,66.0,-4.317234042553308,0.4887234042553663,4.361276595744803,95.25468085106417,-1.2140425531910717,191.93617021276577,121.76394361702127,24.817042127659573,193.4757446808509
32.18823529411774,2021-09-05 14:00:59.188235,991.0,31.733411764705878,24.896235294117645,66.50941176470589,-4.142941176470566,-0.8029411764706043,4.222352941176452,78.95011764705853,6.301176470587722,200.75294117647096,121.7638734117647,24.81702717647059,201.40482352941214
33.465116279069804,2021-09-05 14:01:00.465116,990.0,31.659302325581397,24.849302325581395,66.6,-4.096511627906949,-1.0825581395348864,4.239767441860439,75.03767441860451,2.2932558139530617,209.6046511627906,121.76382604651164,24.81701069767442,211.05558139534867
36.87179487179498,2021-09-05 14:01:03.871795,989.0,31.56641025641025,24.9,67.174358974359,-5.309230769231058,-1.818461538461636,5.611282051282356,71.1064102564103,4.121538461537971,218.61538461538495,121.76369512820513,24.816972564102564,220.58769230769275
39.0,2021-09-05 14:01:06.000000,988.0,31.49,24.93,67.6,-4.87,-0.32999999999999996,4.88,86.11,3.92,228.0,121.76361,24.81696,229.18
41.461538461538346,2021-09-05 14:01:08.461538,987.0,31.406923076923082,24.95615384615385,68.04615384615383,-3.4315384615387288,-0.8946153846154272,3.552307692307961,74.68153846153895,3.5792307692307963,236.38461538461505,121.76350615384615,24.81693076923077,238.86461538461492
44.40000000000008,2021-09-05 14:01:11.400000,986.0,31.307999999999996,24.988000000000003,68.58000000000001,-4.429999999999959,-1.0120000000000553,4.565999999999972,76.9619999999992,2.6880000000000015,245.80000000000015,121.763374,24.816902,248.21600000000018
48.230769230769205,2021-09-05 14:01:15.230769,985.0,31.180769230769233,24.97923076923077,69.06153846153846,-3.6623076923076994,-0.2176923076923027,3.6746153846153913,86.4053846153847,2.6261538461538336,254.69230769230762,121.76324076923076,24.816873846153847,256.7346153846153
51.27777777777783,2021-09-05 14:01:18.277778,984.0,31.04333333333333,24.55999999999999,67.86111111111109,-3.7988888888889245,0.9599999999999431,3.9505555555555802,104.573888888888,5.124999999999862,263.8333333333335,121.76313888888889,24.816892777777777,264.5972222222224
54.04347826086952,2021-09-05 14:01:21.043478,983.0,30.928260869565218,24.731304347826086,69.01304347826085,-4.564347826086962,0.27739130434787806,4.577826086956524,93.44260869565284,3.527826086956494,272.2173913043476,121.76302826086956,24.81688956521739,273.9334782608694
56.35714285714284,2021-09-05 14:01:23.357143,982.0,30.835714285714285,24.77357142857143,69.57142857142857,-3.359999999999949,-0.8799999999999513,3.5671428571427946,80.90928571428623,3.7,281.42857142857133,121.76294928571428,24.81687642857143,283.8814285714285
58.581395348837276,2021-09-05 14:01:25.581395,981.0,30.72325581395349,24.903255813953493,70.6,-4.202790697674379,-2.5795348837210628,5.027441860465147,59.04627906976589,0.9618604651154588,290.3255813953491,121.76282325581396,24.816848372093023,296.3904651162789
60.842696629213386,2021-09-05 14:01:27.842697,980.0,30.666292134831465,24.68044943820226,69.86292134831464,-3.011011235955105,-1.0505617977529298,3.220674157303473,71.87247191011122,7.009887640448866,299.37078651685357,121.76277550561798,24.816821573033707,300.5679775280896
