duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
41.0,2021-09-05 14:01:08.000001,987.175468,31.43,68.0,4.658333333333333,76.68,121.76352,24.81694,237.0,1.0
42.0,2021-09-05 14:01:09.000001,986.790625,31.38,68.1,2.2583333333333333,72.35000000000002,121.76348999999999,24.81692,241.04,1.0
43.0,2021-09-05 14:01:10.000001,986.420312,31.36,68.2,6.444444444444444,84.41000000000003,121.76345,24.81692,244.53,1.0
44.0,2021-09-05 14:01:11.000001,986.121875,31.32,68.5,4.705555555555556,81.23000000000002,121.76338999999999,24.81691,247.22,1.0
45.0,2021-09-05 14:01:12.000001,985.821562,31.29,68.7,4.352777777777778,70.56,121.76335,24.81689,249.71,1.0
46.0,2021-09-05 14:01:13.000001,985.625625,31.25,68.9,2.808333333333333,69.60000000000002,121.76333000000001,24.816879999999998,251.95,1.0
47.0,2021-09-05 14:01:14.000001,985.396875,31.23,69.0,3.9666666666666663,90.11000000000001,121.76328999999998,24.816879999999998,253.75,1.0
48.0,2021-09-05 14:01:15.000001,984.464375,31.1,68.9,3.5194444444444444,99.29000000000002,121.76318,24.816879999999998,261.06,1.0
48.0,2021-09-05 14:01:15.000001,985.086406,31.18,69.0,4.491666666666667,81.44,121.76325,24.81687,255.94,1.0
49.0,2021-09-05 14:01:16.000001,984.7546869999999,31.15,69.1,3.488888888888889,84.08999999999997,121.76321000000002,24.81687,258.6,1.0
51.0,2021-09-05 14:01:18.000001,984.1025,31.06,68.0,3.822222222222222,109.25999999999999,121.76315,24.81689,263.85,1.0
52.0,2021-09-05 14:01:19.000001,983.741015,31.0,67.5,4.288888888888889,92.38999999999999,121.76311000000001,24.8169,266.54,1.0
53.0,2021-09-05 14:01:20.000001,983.405781,30.98,68.1,3.458333333333333,81.99000000000001,121.76307,24.81689,269.73,1.0
54.0,2021-09-05 14:01:21.000001,983.0163279999999,30.93,69.0,4.583333333333333,94.11000000000001,121.76303,24.81689,273.73,1.0
55.0,2021-09-05 14:01:22.000001,982.556718,30.89,69.3,4.5249999999999995,78.75999999999999,121.76298999999999,24.816879999999998,278.41,1.0
56.0,2021-09-05 14:01:23.000001,982.1453119999999,30.85,69.5,2.4138888888888888,90.47000000000003,121.76296,24.816879999999998,282.31,1.0
57.0,2021-09-05 14:01:24.000001,981.7340619999999,30.81,69.7,5.647222222222221,63.69999999999999,121.76293000000001,24.81687,286.71,1.0
58.0,2021-09-05 14:01:25.000001,981.2501560000001,30.78,70.2,4.758333333333333,72.43,121.76288000000001,24.816860000000002,291.37,1.0
58.0,2021-09-05 14:01:25.000001,980.3596869999999,30.7,70.6,4.872222222222222,83.19,121.7628,24.81682,297.78,1.0
59.0,2021-09-05 14:01:26.000001,980.817031,30.74,70.6,5.216666666666667,49.40999999999997,121.76284,24.81684,295.39,1.0
61.0,2021-09-05 14:01:28.000001,979.93375,30.66,69.8,3.05,73.78999999999996,121.76276999999999,24.81682,301.01,1.0
62.0,2021-09-05 14:01:29.000001,979.436093,30.62,69.5,2.5805555555555553,77.32999999999998,121.76275,24.81681,305.57,1.0
63.0,2021-09-05 14:01:30.000001,978.9278119999999,30.58,69.5,4.199999999999999,112.42000000000002,121.76271000000001,24.81682,311.54,1.0
64.0,2021-09-05 14:01:31.000001,978.520156,30.53,69.3,6.8805555555555555,59.08000000000004,121.76266000000001,24.81681,316.19,1.0
65.0,2021-09-05 14:01:32.000001,978.007968,30.48,69.2,4.352777777777778,80.42000000000002,121.76262,24.81681,320.47,1.0
66.0,2021-09-05 14:01:33.000001,977.4746869999999,30.45,69.1,5.583333333333334,65.76999999999998,121.76258,24.8168,323.99,1.0
67.0,2021-09-05 14:01:34.000001,977.061796,30.41,69.3,2.111111111111111,69.76999999999998,121.76253999999999,24.81679,327.22,1.0
68.0,2021-09-05 14:01:35.000001,976.5170310000001,30.33,69.7,4.527777777777778,65.16999999999996,121.76251,24.816779999999998,331.29,1.0
69.0,2021-09-05 14:01:36.000001,976.051718,30.29,70.1,4.977777777777778,69.00999999999999,121.76247,24.81677,336.13,1.0
70.0,2021-09-05 14:01:37.000001,975.579687,30.25,70.1,0.8666666666666667,70.06,121.76245,24.81677,340.72,1.0
71.0,2021-09-05 14:01:38.000001,975.095937,30.18,70.3,4.163888888888889,72.61000000000001,121.76241999999999,24.816760000000002,344.89,1.0
