duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
38.0,2021-09-06 11:00:38.000001,959.8709369999999,30.01,71.1,7.3388888888888895,84.14999999999998,121.72813000000001,24.82319,510.55,1.0
39.0,2021-09-06 11:00:39.000001,959.585625,29.95,71.4,3.333333333333333,86.42000000000002,121.72808,24.823179999999997,513.4,1.0
40.0,2021-09-06 11:00:40.000001,959.31875,29.88,71.7,5.138888888888888,101.18,121.72804,24.82319,516.49,1.0
41.0,2021-09-06 11:00:41.000001,959.0932029999999,29.82,71.9,6.316666666666666,105.33999999999997,121.72798,24.82321,519.61,1.0
42.0,2021-09-06 11:00:42.000001,958.739609,29.74,72.1,2.066666666666667,103.23000000000002,121.72795,24.82321,522.16,1.0
43.0,2021-09-06 11:00:43.000001,958.426875,29.69,72.4,5.847222222222222,78.14999999999998,121.72791000000001,24.8232,525.0,1.0
44.0,2021-09-06 11:00:44.000001,958.085,29.61,72.5,5.080555555555555,95.39999999999998,121.72786,24.8232,528.25,1.0
45.0,2021-09-06 11:00:45.000001,957.795781,29.54,72.7,3.0277777777777777,98.91000000000003,121.72783000000001,24.823220000000003,530.99,1.0
46.0,2021-09-06 11:00:46.000001,957.503125,29.49,73.0,6.213888888888889,95.57999999999998,121.72778000000001,24.82323,533.46,1.0
47.0,2021-09-06 11:00:47.000001,957.196562,29.42,73.1,4.208333333333333,88.58999999999997,121.72773000000001,24.823220000000003,536.26,1.0
49.0,2021-09-06 11:00:49.000001,956.596875,29.3,73.5,3.7027777777777775,99.69,121.72769,24.823220000000003,539.15,1.0
50.0,2021-09-06 11:00:50.000001,956.179218,29.25,73.6,5.566666666666666,108.18,121.72765,24.82323,542.44,1.0
51.0,2021-09-06 11:00:51.000001,955.8915619999999,29.2,74.0,5.847222222222222,85.32999999999998,121.7276,24.82323,545.34,1.0
52.0,2021-09-06 11:00:52.000001,955.636015,29.14,74.3,4.613888888888889,97.36000000000001,121.72756000000001,24.82323,547.97,1.0
53.0,2021-09-06 11:00:53.000001,955.344375,29.09,74.6,6.177777777777777,111.94,121.72751000000001,24.82325,550.96,1.0
54.0,2021-09-06 11:00:54.000001,954.989609,29.04,74.6,6.35,101.69999999999999,121.72745,24.82326,554.06,1.0
55.0,2021-09-06 11:00:55.000001,954.669687,28.99,74.7,2.4555555555555553,100.85000000000002,121.72741,24.82326,556.76,1.0
56.0,2021-09-06 11:00:56.000001,954.415468,28.94,74.9,5.752777777777778,114.70999999999998,121.72737,24.82327,559.22,1.0
57.0,2021-09-06 11:00:57.000001,954.09,28.92,75.0,4.822222222222222,107.45999999999998,121.72731999999999,24.82328,562.03,1.0
58.0,2021-09-06 11:00:58.000001,953.840625,28.87,75.0,5.147222222222222,88.66000000000003,121.72726999999999,24.82328,564.93,1.0
59.0,2021-09-06 11:00:59.000001,953.514375,28.82,75.1,6.963888888888889,101.25,121.72721000000001,24.82328,567.67,1.0
60.0,2021-09-06 11:01:00.000001,953.31875,28.76,75.2,2.9583333333333335,100.32,121.72717,24.82329,570.28,1.0
61.0,2021-09-06 11:01:01.000001,953.067031,28.72,75.4,5.55,85.42000000000002,121.72713,24.82328,572.58,1.0
62.0,2021-09-06 11:01:02.000001,952.796718,28.68,75.6,5.266666666666667,97.97000000000003,121.72708,24.82329,575.32,1.0
63.0,2021-09-06 11:01:03.000001,952.572968,28.64,75.7,3.4194444444444443,92.13999999999999,121.72703999999999,24.82329,577.91,1.0
64.0,2021-09-06 11:01:04.000001,952.245625,28.6,75.8,5.833333333333333,94.72000000000003,121.72698999999999,24.82329,580.38,1.0
65.0,2021-09-06 11:01:05.000001,951.989765,28.53,75.9,3.7805555555555554,97.63,121.72693999999998,24.82329,583.01,1.0
66.0,2021-09-06 11:01:06.000001,951.749375,28.51,75.9,3.977777777777778,89.30000000000001,121.7269,24.82329,585.03,1.0
67.0,2021-09-06 11:01:07.000001,951.507343,28.46,76.2,3.977777777777778,100.95999999999998,121.72686999999999,24.82329,587.22,1.0
68.0,2021-09-06 11:01:08.000001,951.255468,28.42,76.6,5.602777777777778,97.85000000000002,121.72681999999999,24.8233,589.43,1.0
69.0,2021-09-06 11:01:09.000001,950.976015,28.38,76.8,6.175,89.91000000000003,121.72676000000001,24.8233,592.15,1.0
70.0,2021-09-06 11:01:10.000001,950.695703,28.34,77.1,0.9722222222222222,89.99000000000001,121.72673,24.8233,594.07,1.0
71.0,2021-09-06 11:01:11.000001,950.430703,28.31,77.3,4.644444444444444,114.37,121.7267,24.82331,596.79,1.0
72.0,2021-09-06 11:01:12.000001,950.187265,28.26,77.5,7.45,92.08999999999997,121.72663999999999,24.82331,599.4,1.0
73.0,2021-09-06 11:01:13.000001,949.923437,28.21,77.6,3.480555555555555,91.10000000000002,121.72658999999999,24.8233,601.76,1.0
74.0,2021-09-06 11:01:14.000001,949.623281,28.18,77.8,4.161111111111111,97.86000000000001,121.72655,24.82331,604.65,1.0
75.0,2021-09-06 11:01:15.000001,949.367265,28.15,77.9,4.647222222222222,77.91000000000003,121.72651,24.8233,607.63,1.0
76.0,2021-09-06 11:01:16.000001,949.127109,28.1,78.0,4.144444444444444,94.63,121.72648000000001,24.8233,610.16,1.0
77.0,2021-09-06 11:01:17.000001,948.882343,28.07,78.2,3.0694444444444446,90.5,121.72644,24.8233,612.33,1.0
78.0,2021-09-06 11:01:18.000001,948.708984,28.03,78.2,5.0472222222222225,71.00999999999999,121.7264,24.82329,614.83,1.0
79.0,2021-09-06 11:01:19.000001,948.445781,28.0,78.4,6.441666666666666,87.5,121.72635,24.82329,616.56,1.0
80.0,2021-09-06 11:01:20.000001,948.19039,27.96,78.5,4.108333333333333,79.19999999999999,121.7263,24.82329,618.35,1.0
81.0,2021-09-06 11:01:21.000001,947.926406,27.93,78.6,3.397222222222222,81.97000000000003,121.72627,24.82328,620.68,1.0
82.0,2021-09-06 11:01:22.000001,947.704453,27.89,78.6,4.355555555555555,92.81,121.72623,24.82328,623.19,1.0
83.0,2021-09-06 11:01:23.000001,947.3946869999999,27.83,78.7,5.622222222222222,70.5,121.72618,24.82327,625.38,1.0
85.0,2021-09-06 11:01:25.000001,946.886718,27.79,78.9,2.8833333333333333,79.33999999999997,121.7261,24.82327,629.92,1.0
86.0,2021-09-06 11:01:26.000001,946.572656,27.74,79.1,4.0055555555555555,77.95999999999998,121.72606,24.82326,632.72,1.0
87.0,2021-09-06 11:01:27.000001,946.27164,27.7,79.3,4.472222222222222,95.70999999999998,121.72601999999999,24.82327,635.43,1.0
88.0,2021-09-06 11:01:28.000001,946.044531,27.67,79.4,3.091666666666667,79.26999999999998,121.72599,24.82327,637.37,1.0
89.0,2021-09-06 11:01:29.000001,947.203593,27.79,78.8,4.927777777777777,79.82,121.72613,24.82327,627.53,1.0
89.0,2021-09-06 11:01:29.000001,945.824843,27.65,79.4,4.7027777777777775,82.69,121.72596000000001,24.82326,639.48,1.0
90.0,2021-09-06 11:01:30.000001,945.623281,27.63,79.4,3.8999999999999995,96.07999999999998,121.72592,24.82327,641.63,1.0
91.0,2021-09-06 11:01:31.000001,945.393906,27.61,79.5,2.2944444444444443,87.76999999999998,121.72588999999999,24.82327,643.47,1.0
92.0,2021-09-06 11:01:32.000001,945.20625,27.57,79.6,6.6305555555555555,89.23000000000002,121.72583999999999,24.82326,645.31,1.0
93.0,2021-09-06 11:01:33.000001,945.003125,27.53,79.7,3.147222222222222,90.58999999999997,121.7258,24.82326,647.18,1.0
94.0,2021-09-06 11:01:34.000001,944.757187,27.51,79.8,2.775,75.25,121.72577,24.82326,649.73,1.0
95.0,2021-09-06 11:01:35.000001,944.575,27.48,79.9,6.38611111111111,98.76999999999998,121.72573,24.82326,651.71,1.0
96.0,2021-09-06 11:01:36.000001,944.2882810000001,27.46,80.1,1.9861111111111112,98.57,121.72568999999999,24.82327,654.06,1.0
97.0,2021-09-06 11:01:37.000001,944.082031,27.45,80.2,3.3166666666666664,73.47000000000003,121.72567,24.82326,656.69,1.0
98.0,2021-09-06 11:01:38.000001,943.8709369999999,27.43,80.4,4.844444444444445,100.54000000000002,121.72563000000001,24.82326,659.0,1.0
99.0,2021-09-06 11:01:39.000001,943.6845310000001,27.42,80.4,4.427777777777777,83.69999999999999,121.72559,24.82326,660.91,1.0
100.0,2021-09-06 11:01:40.000001,943.403984,27.38,80.4,3.0166666666666666,83.02999999999997,121.72555,24.82325,662.71,1.0
101.0,2021-09-06 11:01:41.000001,943.199218,27.36,80.5,4.694444444444444,105.60000000000002,121.72551999999999,24.82326,665.07,1.0
102.0,2021-09-06 11:01:42.000001,942.960468,27.33,80.5,5.372222222222222,92.66000000000003,121.72547,24.82326,667.46,1.0
103.0,2021-09-06 11:01:43.000001,942.676093,27.31,80.6,2.566666666666667,86.35000000000002,121.72543,24.82325,669.41,1.0
104.0,2021-09-06 11:01:44.000001,942.50625,27.29,80.7,5.558333333333334,102.58999999999997,121.72538999999999,24.82326,671.23,1.0
105.0,2021-09-06 11:01:45.000001,942.262968,27.27,80.9,4.1499999999999995,101.56,121.72535,24.82326,673.25,1.0
106.0,2021-09-06 11:01:46.000001,942.003828,27.26,80.9,2.5944444444444446,90.88,121.72532,24.82326,675.71,1.0
107.0,2021-09-06 11:01:47.000001,941.8121869999999,27.22,81.1,5.416666666666667,101.99000000000001,121.72528,24.82326,677.64,1.0
